Hybridization REF	TCGA-AA-A00K-01A-02R-A002-07
STYXL1	-0.72325
BLVRB	-0.821666666666667
LOC147650	-1.43683333333333
MMP24	0.432
GRID1	0.218166666666667
BANF1	0.0621666666666667
CTAGEP	0.2085
HMBS	-1.269
SLC25A24	0.0013333333333333
C14orf50	1.85175
MRO	-0.449
SLC25A15	-0.403
FAM84B	1.1307
TDP1	-0.2795
C16orf78	-0.439666666666667
C11orf57	-0.108375
RFK	0.0275
ZFYVE9	-0.105875
STCH	-1.461
WIBG	1.22775
LOC283871	-0.300333333333333
GBA2	0.1745
NDUFB3	-0.28725
HSD17B13	-0.52
GRIN3A	0.892333333333333
FMNL1	-1.67033333333333
SEPT7	-1.0456
GNLY	3.0635
GRAMD1C	-0.815666666666667
ZNF165	1.253
USP38	0.47625
FAM83A	-3.361
C14orf24	0.416083333333333
ARMCX3	0.1555
ARHGDIB	0.341333333333333
AK1	-0.307875
KIAA1045	-0.39525
DNAJB13	-0.519
NEU2	-0.291
HIST1H4B	-0.0616666666666667
FAM20B	-0.7879
HES2	2.15635714285714
FAM73B	-0.0457
LOC388381	-0.7015
INTS7	-0.357
AMPH	-0.49275
ZNF775	0.00162500000000004
UCKL1	0.256
C10orf97	-0.2485
C1orf161	0.877
ALDH1L1	0.246
FLJ39378	-0.57575
SLC23A1	-0.6165
RBM4B	-0.702
THAP4	0.387833333333333
OGFRL1	-1.017
KIAA0831	-0.430625
PPP1R15A	-0.19
C1orf96	-0.483857142857143
C12orf11	-0.53875
BMF	0.04225
MAN1A1	-0.553375
KIAA1600	-0.113166666666667
NLGN4X	-1.993
ALOX12	-1.63666666666667
RB1CC1	0.0419
NEIL2	0.7533
EIF4E	0.159409090909091
ABHD5	-0.70225
EXOC4	0.000500000000000002
CIP29	-0.252666666666667
BATF2	3.757
SLC29A4	-1.01525
HTR4	0.69775
EMB	-2.6355
TRAF6	0.533
LMNB1	-0.4425
FAM19A5	-0.951125
SHE	0.32575
PIK3C2B	2.42325
C15orf15	-0.3509
USP15	-0.0979
TCEAL2	0.897
C5orf39	-2.086
PTGER2	-0.9885
SLC31A1	-0.084375
IFT172	0.47825
ADAM29	-0.16425
GFOD1	0.44625
ST7L	0.389
C15orf26	-2.49575
PKN3	-1.699
CNTD1	2.5585
COMMD1	0.044375
NTRK2	0.480916666666667
FOXN3	0.05475
MFGE8	-0.5837
PFKFB2	1.34783333333333
TAS2R4	-0.25375
ENTHD1	1.33483333333333
PRMT5	-0.57925
MGC16384	0.346375
LOC442229	-0.8345
TSKU	-0.295625
KRTCAP3	4.0455
PDLIM1	1.1242
KCNS2	0.0675
RNF126	-0.405166666666667
CEP63	-0.607875
CLIC4	-1.153625
hCG_1990170	-0.3005
ACR	2.1909
KLK7	2.39575
ALOX5AP	2.18025
RIPK3	4.9895
TAS2R9	-0.226
C19orf18	-0.684
BIRC6	0.0417142857142857
ZNF16	0.585
RFT1	0.12925
SLC8A2	-0.023
TACC1	1.58275
ITGAD	0.4925
SAMHD1	0.15775
SH3PXD2B	0.00899999999999997
EPC2	0.20775
C20orf85	0.143
ATP13A2	0.282166666666667
KRT4	0.345
CAPNS1	0.676
MDM2	0.916833333333333
PCDH20	5.06725
KCNK9	-0.002
OR2C1	-0.211
KLHDC3	-0.731166666666667
IPPK	0.414
EFHD2	1.892375
GALR3	2.07575
NBEA	-2.34583333333333
ABCA6	0.0606
CLDN3	3.20133333333333
AKT2	0.543785714285714
EGFR	-0.5761
RBM16	-0.114125
ZDHHC3	1.321
SLC25A4	-0.110666666666667
CYB5B	0.3785
CPXM1	-0.93475
NDRG1	1.48130769230769
FLJ43826	-0.077
OR5L2	0.117833333333333
FARP2	0.7311
MRPL46	-0.313333333333333
LDHAL6B	0.367166666666667
MAPKAPK3	-0.135333333333333
NCAM2	-3.40725
PRKD2	0.156666666666667
ZFP36L1	0.4986
CYSLTR1	-1.95675
OR4C3	-0.0205
HIST1H2AJ	1.489
CCNB2	-1.06166666666667
ZNF10	-0.9735
TMEM175	0.885
FAM134A	0.27
TIGD4	-0.032
PCNP	-0.69325
MGC39715	-0.14
LQK1	-1.24275
CREB1	-0.3583
TMPRSS3	-2.79125
C4orf32	-0.327
LAT	-1.7515
KCNA3	-0.5115
SKIV2L2	-0.679
ROPN1B	-3.6865
tcag7.23	0.494
CDT1	-1.44625
ZHX2	-0.550125
CD28	-3.72225
ZNF624	-0.27275
SEPT2	-0.50475
SOHLH2	-1.321
MCOLN3	1.128375
UNQ1945	0.4
MASP2	-0.4265
ZNRF3	1.3333
GPATCH3	-0.1895
AGL	0.089375
QRICH2	-0.2515
PSD4	-0.133833333333333
CCNB1IP1	-0.58025
ENPP7	-0.32575
OBFC1	-0.22925
KCNG3	-3.22025
C14orf79	-0.655166666666667
ENPEP	-0.0625
SCT	1.009
SKI	1.0515
SEC61G	-0.41475
CAPN11	-0.37025
ATXN7L3	0.33875
DBNDD1	-0.830333333333333
FAIM	-0.30675
ANKRD36	-0.473
GABRP	-0.85
TACSTD2	-0.4584
EIF3J	-0.22725
PPP2R2A	0.526
TEKT4	-0.126333333333333
PVALB	-4.22383333333333
F10	-1.976
FAM134C	0.3495
COMP	2.10675
EFCBP1	-2.461375
SCLT1	0.323625
TAL1	-1.2122
ACSL1	1.06675
ABCC5	-0.396666666666667
ABL1	-0.221722222222222
RBBP7	0.651916666666667
PTPRG	0.613
NCOR1	0.4775
SPINK4	6.94966666666667
TXNRD1	-0.1986
TNRC15	0.546375
C9orf138	0.14025
UBE2H	-0.00616666666666667
BRDT	0.0998333333333333
C8orf31	-0.505
CCNE2	-1.48263636363636
SLC6A8	0.76825
CALCR	-4.424
PPP1CB	0.36475
ABHD8	-1.5095
ARF5	0.3906
SLC24A4	0.1505
CCT3	-0.205
ZNF121	0.00699999999999999
SLC3A2	-0.8937
OR13A1	0.6
SLC5A10	0.33725
RAD50	-0.286625
IER5	1.04725
MTHFD1L	-0.53
MBTPS2	0.2395
MVK	1.401625
NCL	0.3926
PSMD10	-0.48025
MOBP	0.24025
FLJ32894	-0.3
HRH1	1.0855
C5orf30	0.27225
NUDT16L1	-0.2901
RASGRP3	2.43466666666667
PRKRIP1	-0.747
CCDC75	0.099
LOC253970	-0.037
KIAA1239	1.39425
MED21	-0.342
SYT11	-0.209166666666667
NTSR2	-1.07
EGFL11	0.372
CXorf59	0.5525
OR2A25	-0.01575
SPTBN2	-0.47425
LRMP	-1.90783333333333
RNF111	-0.409
PTH	0.522
LOC619208	-1.13083333333333
KIAA0895	-1.90925
RANBP5	-0.2495
P2RY10	0.150333333333333
NME5	-0.577333333333333
DDX21	-0.18325
LRSAM1	-0.3645
HDAC11	0.509666666666667
VMO1	0.95375
NOLA2	-0.1875
ADAR	-0.346583333333333
MTO1	-0.748666666666667
SF4	0.0325
P2RX1	0.8725
HBM	-0.02525
EN2	2.282
C14orf172	1.08625
TM9SF2	0.1583
INHBE	-1.1395
TCTE3	0.0738333333333333
TOX2	-2.60975
CTAGE3	-0.07625
HBB	3.8278
MED15	-0.556
CASR	0.40575
C6orf66	0.434333333333333
MTPN	-0.881875
UNC50	-0.8895
C21orf33	-0.06625
IRF2	0.24
PGR	-2.56583333333333
GPR84	1.2125
CROCCL1	-0.833
SRPX	-2.4995
BRE	0.0065
FGF10	0.8285
SDC3	-0.139
ZRSR1	-0.141333333333333
DKFZP434P211	-0.164
SOX6	-0.397
RPUSD2	0.49125
C14orf173	0.662166666666667
MAPK11	-0.258333333333333
TBC1D22A	0.715
FAM123A	-1.093
COL4A6	-2.5285
TOMM70A	0.35025
NAB1	-0.07975
MGC16385	-1.4095
TSPAN18	-0.631666666666667
MED31	-0.709
PLG	-0.0415
CAPSL	-0.263
ZNF532	-0.745
ASB14	0.04
CA8	-1.09575
NUDT16P	2.3055
SLFN11	-2.518
LRRIQ2	-0.882
NOL7	-0.168666666666667
BRMS1L	-0.760625
JARID1A	0.344166666666667
PANK2	-0.2415
ICAM3	-0.56875
MDS1	2.12625
TAF8	-0.1815
RNF139	-0.107
ZNF594	-1.2165
ADAM8	1.081
SFTPC	-0.178625
MAN2B2	0.564125
RGS12	0.1385625
EIF1AY	0.518916666666667
LRRIQ1	-1.29633333333333
GPR150	2.472
CCDC21	-0.9075
PRRG3	0.47525
SAA4	-1.77775
RAPGEF5	2.56175
ZCCHC2	0.240416666666667
MGC39372	-0.36
PPP4R2	-0.169666666666667
CDCA2	0.2405
OR4D5	0.589
PTGFRN	0.7235
SIGLEC5	0.3825
C19orf61	-0.0606666666666667
NMUR2	-0.0775
KIAA1586	-1.9895
DAGLA	1.53833333333333
CHCHD6	0.06425
GPR32	0.0305
NEUROD6	0.0563333333333333
SLC2A4RG	-1.222375
CA5B	-0.196
FBXL3	-0.15225
MPHOSPH9	-0.6925
HMG2L1	0.0925
HCN4	1.5135
CEACAM19	1.24025
SH2D4B	0.2155
HFE2	-0.57
TGM4	0.5518
LYPD2	-0.1005
TBC1D15	0.47025
MRPS21	-0.5613
NONO	-0.1586
CLEC5A	1.268875
ITCH	-0.1064
MGAT3	-0.153666666666667
MBP	0.0298750000000001
RPP25	1.3585
SOSTDC1	-1.152
HRC	-2.04275
TRIM48	-0.1415
TMEM133	-0.07375
ECEL1P2	-0.6065
HOXC11	-0.8165
DOK5	-2.55025
HELZ	-0.0983333333333333
LOC348180	-0.3325
MGC33894	0.13075
ADRB3	0.209
DMD	0.149
PTRH2	-0.043
MPEG1	1.95666666666667
NDUFA12	0.663833333333333
KRTAP2-4	0.152166666666667
STAMBPL1	-0.0751666666666667
ADCY2	-0.8235
UNQ6125	0.4395
KLHL20	-0.202666666666667
SRM	-0.44
OTC	1.72275
TMIE	-0.900166666666667
SNX8	-0.06025
LIPK	-0.098
CHURC1	-0.574666666666667
KLC2	0.2515
HDAC1	0.819666666666667
FAM128A	0.1345
FNDC3B	0.0714
MTCP1	-0.675
WFDC10B	2.7355
PCDHGB3	0.3655
ATRNL1	-2.2267
CAV2	-1.349875
MED26	-0.021
DUS1L	1.09925
CHRM3	0.06675
NEK9	-0.06725
WARS2	0.954
TBX22	-0.3275
TOMM40	0.84425
RP6-213H19.1	0.593833333333333
TUBGCP5	-0.51975
IGSF6	4.16525
TPPP	-0.0961666666666667
UNQ6190	0.731
GSTM5	0.76975
BTD	-0.493833333333333
PDCD1LG2	-0.535666666666667
SNRPB2	0.214
ERICH1	0.792875
APOA4	-1.773125
HOXA11	0.6975
NARG1	-0.150875
MKX	-0.11
RAB28	-0.796357142857143
PKP3	2.477
SH3GL2	-3.36125
CTSO	0.27225
RPN2	0.7509375
IL28RA	1.694
SFMBT1	0.3195
WDR57	-0.894375
FER1L3	0.301333333333333
HSF5	0.231166666666667
TTC9B	1.7435
C4BPA	1.942
ALB	-4.19164285714286
SORBS3	0.0475
UPF2	0.304
JPH1	1.6575
AGBL2	-2.036
DOPEY1	1.2125
TERF1	-0.355916666666667
KIF22	-0.711333333333333
NINJ1	-0.4745
SEC61A2	-1.02491666666667
HIST1H1D	-0.0793333333333333
SFXN4	0.698875
UCP3	0.9031
ZNF703	1.72466666666667
MYL6B	-1.59225
TREM1	2.615
OR52E6	-0.0335
CKMT2	6.26825
HLA-C	2.079125
SLC13A3	-0.9965
TIMP4	-0.5715
SLIT2	-0.0215
RSF1	-0.566444444444444
LONRF1	0.0775
MON1A	0.553166666666667
CACNG6	-1.4405
DPPA4	-4.57916666666667
ZSWIM3	1.04275
ZNF804A	0.0405
CCIN	1.03825
SLC25A31	-1.0125
KCNMB4	-2.47375
RABL5	-1.07025
GALNS	-0.359
STX6	0.388125
HIST1H1C	-3.69566666666667
CIDEB	-1.13075
CASP4	-0.1895
PDK3	1.4188
KCNJ11	-0.158
TPR	-0.55925
ZSCAN20	0.075
MTX2	-0.269
HIST1H2BH	-1.2245
LOC283767	1.41075
LYRM7	-0.770944444444444
BRD3	-0.109
HIST1H2BO	-1.2605
MAGEB10	0.1705
SLC45A1	-0.1805
SERPINA3	-3.30385
KIAA0143	0.81875
KCNJ16	0.451666666666667
KRT79	0.21375
FABP2	4.2245
NUT	-0.6255
ZNF57	0.4755
FBXL4	-0.201125
CLEC9A	0.166
UGT8	2.57733333333333
BMP2K	0.2525
MAPK4	-3.301
SLC25A23	-0.3097
HINT1	-0.0636
KRTAP13-1	-0.1465
SFXN5	-0.0405
CHCHD2	0.03075
FAM3D	4.9535
NDP	-3.630375
RHOBTB1	-0.699
SLC4A4	1.306625
RPL38	0.0185
HTF9C	-0.5205
AP2A2	0.148625
ZBTB46	-0.339
MAP7D1	-0.734
AOX1	-2.64966666666667
CYR61	-0.347666666666667
DTNA	-1.01014285714286
JRKL	0.69775
TMOD3	-0.28675
EEA1	0.9304
ADCK5	1.7615
IL1R1	-0.0946666666666667
KLK3	1.5445
HRSP12	0.9205
KTN1	-0.03525
LOH11CR2A	0.5533
RELL2	-1.92875
MAB21L1	0.29375
C20orf59	0.675833333333333
PHKB	-0.3695
ADAM2	-1.9725
TBC1D8B	2.08283333333333
FAM13A1	0.9929375
LAPTM4B	-0.582333333333333
LCN8	0.355
TMEM147	0.3385
SYT4	0.521
XPO7	0.3565
C9orf62	2.68225
GPR75	-0.3855
TRIM5	1.01
APOC1	-1.45133333333333
RNASE4	0.193833333333333
PARD6B	-1.830125
ARID1A	-0.15025
TPD52L3	0.2174
RRAGB	0.564166666666667
RCN2	-0.780333333333333
HIST2H2BE	-1.691625
STARD7	0.44275
SHMT2	0.77125
KIAA1751	0.00833333333333334
MLYCD	1.07575
LOC162632	-1.165
UQCRH	-0.52425
RP11-217H1.1	0.829375
SDHA	-0.1485
NCLN	0.8937
ZNF17	-0.0381666666666666
RCBTB2	-2.6455
VEGFB	-0.9464
RP4-747L4.3	0.18925
COLQ	-0.6464
MPN2	-0.581666666666667
DRG2	-0.3485
KLRB1	5.4885
ALPK2	-2.92025
DNASE2B	0.7335
FLJ23834	-0.461
AXUD1	0.265
SAFB	0.3004
NSUN4	0.03875
RFX2	0.136833333333333
MAPK8IP1	-0.928166666666667
FANCD2	-1.10085714285714
ANKZF1	-0.798666666666667
C19orf50	-0.3815
DUSP8	1.3595
SENP5	-0.288875
NFKBIL2	1.30125
LBR	1.0675
IGFL1	0.759
LZTS2	-0.882375
IL2RG	1.66025
CCDC51	0.449
KLF3	1.049125
ANKRD37	0.61525
KCTD14	2.749
FZR1	0.45325
SLC44A4	4.5029
ESPL1	-0.38875
GMPR2	-1.4352
TBC1D19	-1.1
ERGIC1	0.698222222222222
ERBB4	-2.1726
TSPAN32	-0.0944166666666666
MAP4	0.0295
GPHN	0.9665
SLC6A2	-0.765875
HIVEP1	-0.022
DFFB	1.011
EIF4EBP2	0.48925
DMRT1	-0.267
HSPB6	0.33175
IER2	0.615666666666667
AIFM1	1.30425
WWC2	-1.70666666666667
MRPL4	0.4915
FLJ21062	0.195833333333333
EPB41L4A	-0.345416666666667
SH2D6	0.091
TAF4B	-0.7525
GAL3ST3	-0.688
MALT1	0.1655
RTDR1	-0.29875
ARVCF	-0.192875
MEX3B	-2.8655
FBXO16	0.31475
KIF7	-1.97975
C1QC	4.19366666666667
ZNF783	-0.1195
ZNF85	-1.6015
MMP13	-1.327
KIAA0329	0.060125
RTP3	-1.068
ZBED3	-0.6095
CLGN	-4.862
SLC25A37	-0.361416666666667
hCG_18290	-0.0475
OR5AS1	-0.288
SMARCC2	0.782
FAM109A	1.655
CCDC12	-0.14275
USF2	0.5578
DEPDC7	0.7945
C20orf24	0.466166666666667
JMJD3	0.776
DSP	0.861785714285714
SLIC1	0.8725
FAM20A	-0.97175
IRF2BP2	0.546
ZNF230	-0.444
MSN	-1.44864285714286
SLC9A5	-2.1075
EPDR1	0.457
MUSK	-0.130833333333333
