Hybridization REF	TCGA-A2-A0CP-01A-11R-A034-07
SFRS6	-1.06391666666667
C17orf77	-0.171
UIMC1	-0.395333333333333
FXYD2	-2.1563
LOC283152	1.795
ZNF667	-0.0135
ZCCHC12	-0.1295
TFEC	1.5547
ATP7B	1.86016666666667
POLD2	-1.7915
RG9MTD1	-0.2705
ACOT2	0.997166666666667
HIST1H4I	-0.64675
PPARGC1A	-1.6284
ETFA	-1.5128
POLRMT	-0.36025
ZNF146	0.291125
MIA2	-1.27
KLHL6	-1.19666666666667
HOXB5	-0.13925
NENF	0.6545
CUGBP1	0.079
PRSS22	1.826
CASC4	1.5805
CUL4B	0.0705
CENPJ	-1.8084
PITX1	0.1555
FLJ31033	0.246333333333333
CELSR3	-1.235
ZNF568	0.89825
ITSN1	0.224333333333333
EHBP1L1	-1.40483333333333
C19orf2	-0.762
DCTN1	-0.59025
LIN28B	-3.021
TNKS2	-0.05325
C1QBP	-0.189125
CADPS2	1.491
SRMS	0.17825
GJA9	0.4325
MGC24975	-0.0851666666666667
TRIM45	-0.2075
TSP50	0.05575
TCP1	-1.30075
TMED7	-0.194
CMA1	1.79
CENPL	-2.14116666666667
PTCRA	-0.5835
FST	-1.6725
VWCE	-3.33225
PAWR	0.5265
ABCC12	0.255
LDLR	-0.7131
ASTN2	1.1243
LOC441212	-0.414625
GPATCH8	-0.44025
TANC2	-0.354666666666667
KIF4A	-3.52825
C18orf18	-0.68775
PGM1	-1.4855
KIAA0258	0.6945
CPD	0.44875
SNCAIP	-0.0905
DCT	-4.21783333333333
HLA-DOA	2.52977272727273
OR11L1	0.4515
UPK1B	-0.351
DNAJB4	0.295375
UGT1A8	-0.43175
HIST1H4L	0.2795
PECR	-1.46866666666667
HSPA2	1.39325
WFIKKN1	-1.834
SERP1	0.678125
SYDE2	2.56825
TACR2	0.7715
NUP85	-1.0585
CD177	-1.03
LGR5	-2.4602
PIGG	-0.833833333333333
PTHR1	-0.6645
RAB5A	0.1521
FLJ13224	0.1015
USP9Y	-2.46666666666667
C7orf53	0.0815
LRP1B	0.42675
XAF1	1.4797
ABCG8	-0.7965
ANKDD1A	-0.2575
DAND5	-2.338
SPAG6	0.738666666666667
LINCR	0.2635
ZDHHC22	-1.747
CCDC60	0.3885
THOC7	-1.055
TCTA	0.7071
OR8K3	0.7545
NY-REN-7	-1.1295
B2M	0.856
C6orf141	-0.448625
LPPR4	2.50625
SQLE	-1.1445
SEPHS1	-0.629
BTBD14B	0.114428571428571
PLRG1	-0.05
SPG7	-1.106
ZNF614	-0.314666666666667
PARD6G	1.17033333333333
INPP5B	-1.2301
GRPEL2	-0.226375
PPID	-0.896
TRIM56	-0.21975
UBE2J1	-0.121875
IL20RA	4.577
LOC387856	-0.28475
C1orf107	-0.0625
UTS2R	-0.10975
C19orf22	-0.45075
SAFB2	0.51875
KIAA0652	-0.68025
KLRG1	-0.306333333333333
MS4A8B	1.21733333333333
FRAG1	0.403
KIAA1546	0.626
E2F4	-1.5481
CLEC4M	-0.0363333333333333
BTBD14A	-0.639
KIAA0999	0.4487
GYPA	-4.0515
TAC1	2.3989
TRAIP	-2.04383333333333
KIAA0232	0.9704
ERCC8	-1.208625
GPX4	0.751375
KIAA0368	0.20775
GPR157	-0.6735
CTAGE4	-0.113
C9orf30	-1.58716666666667
OR52A1	0.0705
HSP90B3P	-0.5555
ALG9	-0.4253
BTBD10	0.52825
SDK2	0.39275
BAIAP3	0.399
RABGGTB	-0.576375
ANKRD40	-0.878833333333333
KRT74	0.3235
CALCOCO2	0.0345
SNCA	-2.70075
TMSL8	-4.247875
C2orf53	0.7165
ESRRB	-0.44925
ARHGAP26	-1.236625
TDRD9	-2.79925
HRAS	0.153166666666667
KLRC4	-2.451
JAGN1	-0.163
BSDC1	0.6665
RNF43	-0.4849
NDUFAF1	0.2715
PHF12	0.35475
OR1L3	-0.11325
FOLR2	1.66266666666667
LYZL6	0.1464
tcag7.1260	-2.0705
WSB1	-0.291833333333333
PROS1	0.3478
OSTN	0.3555
PSMB8	0.32925
SOCS4	-0.511375
DDIT4L	2.10475
MAS1	-0.077
MGC34796	1.0935
CSHL1	0.384666666666667
TBCCD1	-0.0501666666666667
ZBTB7C	-0.376
AP2S1	-0.0025
P15RS	-0.6081
VAT1	-0.825
SHANK3	0.363833333333333
TUFM	-0.135333333333333
THEG	0.6295
KRT34	-1.208
SGSM3	-0.59275
TOMM22	-0.499625
SOCS3	0.8495
CPO	1.131
POP4	0.0765
BHLHB3	1.81925
MALL	0.76075
OR1B1	0.5445
PARK2	0.519166666666667
GPR124	1.27875
LCE1E	0.2695
RUVBL2	-0.8575
CGRRF1	0.2866
ACPL2	0.32175
WNT10B	-2.7275
BAIAP2L2	-2.40075
ISCA1	0.5005
C1orf125	-0.001125
RPAP1	-0.47175
RAI16	0.221
RPL27	0.075375
NLRP9	-0.1095
EPN1	-0.521
LOC388610	-0.062125
SLC35A1	1.214
GAL	-3.06225
SLC14A2	0.21175
RDH11	0.0481666666666667
FAM138F	0.509
AUH	0.5295
FLJ40243	0.0946666666666667
C14orf129	-0.1575
MBD2	-0.542166666666667
ABHD14B	-0.261875
PIGT	-0.2835
ALS2CR4	-0.110375
ALAS1	-0.2426
FOXO1	2.299
CRLF3	-0.525875
C20orf107	-0.1645
FARS2	0.473
CCDC28A	0.36675
NPHP3	0.06375
OR13F1	0.252
TSEN54	-0.894
DEFB106B	0.1845
OR8B4	-0.003
STH	2.86025
ZC3H14	-0.501
CBX2	0.0185
TMEM49	-1.3985
C6orf21	0.4235
FLJ20920	-0.1215
CRTAP	0.0155714285714286
DDX50	0.14825
STYXL1	0.1955
BLVRB	-0.357166666666667
LOC147650	0.429666666666667
MMP24	0.619
GRID1	2.29583333333333
BANF1	-0.546666666666667
CTAGEP	-0.239
HMBS	-1.9475
SLC25A24	-0.0978333333333333
C14orf50	0.03875
MRO	0.2065
SLC25A15	-0.85625
FAM84B	0.527
TDP1	-1.565
C16orf78	-0.0428333333333333
C11orf57	1.048
RFK	-0.5365
ZFYVE9	-0.243375
STCH	-0.4555
WIBG	0.6005
LOC283871	-0.564666666666667
GBA2	-1.0704
NDUFB3	-0.3465
HSD17B13	-0.55625
GRIN3A	0.356333333333333
FMNL1	-1.6875
SEPT7	0.144
GNLY	2.561
GRAMD1C	1.51083333333333
ZNF165	-0.294
USP38	0.68275
FAM83A	-3.34966666666667
C14orf24	0.932166666666667
ARMCX3	0.993625
ARHGDIB	-0.0311666666666666
AK1	0.487
KIAA1045	0.326
DNAJB13	-0.695
NEU2	-0.495
HIST1H4B	-0.634333333333333
FAM20B	-1.1674
HES2	1.16992857142857
FAM73B	-0.8835
LOC388381	0.86775
INTS7	-0.974181818181818
AMPH	1.43375
ZNF775	-0.59175
UCKL1	-1.351
C10orf97	-0.1685
C1orf161	-0.11625
ALDH1L1	-0.9535
FLJ39378	-0.058375
SLC23A1	0.4425
RBM4B	0.0455
THAP4	0.342833333333333
OGFRL1	0.77725
KIAA0831	0.504125
PPP1R15A	0.3455
C1orf96	-0.558785714285714
C12orf11	-1.7325
BMF	0.63875
MAN1A1	-0.345625
KIAA1600	0.839833333333333
NLGN4X	1.0145
ALOX12	-1.346
RB1CC1	0.1202
NEIL2	0.2579
EIF4E	-0.254681818181818
ABHD5	-0.64225
EXOC4	-0.552333333333333
CIP29	0.0205
BATF2	-0.0205
SLC29A4	-0.91025
HTR4	-0.07
EMB	-1.536
TRAF6	0.601
LMNB1	-2.54675
FAM19A5	-0.106625
SHE	2.056
PIK3C2B	1.1495
C15orf15	-0.3319
USP15	0.1467
TCEAL2	2.59175
C5orf39	-0.493166666666667
PTGER2	-0.42425
SLC31A1	-0.5096875
IFT172	0.59825
ADAM29	0.311
GFOD1	0.846
ST7L	0.565166666666667
C15orf26	-2.45875
PKN3	-1.74975
CNTD1	1.00733333333333
COMMD1	0.331625
NTRK2	4.03916666666667
FOXN3	0.539625
MFGE8	-0.5859
PFKFB2	1.09
TAS2R4	0.11725
ENTHD1	2.07733333333333
PRMT5	-1.4685
MGC16384	-0.656875
LOC442229	-0.77225
TSKU	0.164
KRTCAP3	2.121625
PDLIM1	-0.251
KCNS2	0.56875
RNF126	-0.622166666666667
CEP63	0.814375
CLIC4	0.3275
hCG_1990170	0.271
ACR	1.3935
KLK7	3.77275
ALOX5AP	2.57575
RIPK3	2.12975
TAS2R9	0.8335
C19orf18	2.2105
BIRC6	0.0628571428571429
ZNF16	0.9255
RFT1	-0.73275
SLC8A2	-1.23025
TACC1	1.003875
ITGAD	0.5095
SAMHD1	0.536
SH3PXD2B	1.2905
EPC2	1.05125
C20orf85	2.423375
ATP13A2	-0.440833333333333
KRT4	-0.090125
CAPNS1	-0.42275
MDM2	-0.175833333333333
PCDH20	2.351
KCNK9	0.897
OR2C1	-0.00799999999999999
KLHDC3	-1.40216666666667
IPPK	0.596
EFHD2	-0.627875
GALR3	-0.0305
NBEA	1.59983333333333
ABCA6	3.7592
CLDN3	0.2465
AKT2	-0.8465
EGFR	-0.8663
RBM16	0.903375
ZDHHC3	-0.0604
SLC25A4	-1.02233333333333
CYB5B	-1.19333333333333
CPXM1	0.80775
NDRG1	-1.48392307692308
FLJ43826	0.8465
OR5L2	-0.0608333333333334
FARP2	0.0831
MRPL46	-0.698
LDHAL6B	0.0891666666666667
MAPKAPK3	-0.0556666666666666
NCAM2	0.0505
PRKD2	-0.279666666666667
ZFP36L1	1.8891
CYSLTR1	-0.86225
OR4C3	0.22725
HIST1H2AJ	1.306
CCNB2	-3.86666666666667
ZNF10	0.195375
TMEM175	0.154
FAM134A	0.439666666666667
TIGD4	0.3135
PCNP	-0.5405
MGC39715	0.35975
LQK1	-0.7505
CREB1	0.8108
TMPRSS3	-1.279
C4orf32	1.589625
LAT	-1.56333333333333
KCNA3	-0.4785
SKIV2L2	-0.92525
ROPN1B	0.70825
tcag7.23	0.271
CDT1	-4.035
ZHX2	0.882625
CD28	-2.9545
ZNF624	1.58125
SEPT2	0.21925
SOHLH2	-0.462375
MCOLN3	-0.28975
UNQ1945	0.174
MASP2	-1.4425
ZNRF3	0.1625
GPATCH3	-0.4735
AGL	1.74875
QRICH2	-0.906
PSD4	0.626833333333333
CCNB1IP1	-1.1575
ENPP7	-0.1615
OBFC1	0.11325
KCNG3	-2.57175
C14orf79	0.621583333333333
ENPEP	2.06216666666667
SCT	3.073
SKI	0.8065
SEC61G	-1.3955
CAPN11	-0.06725
ATXN7L3	-0.6085
DBNDD1	-0.7505
FAIM	0.60225
ANKRD36	0.5115
GABRP	3.9885
TACSTD2	1.5155
EIF3J	-0.504
PPP2R2A	-1.6615
TEKT4	0.0184
PVALB	-3.56483333333333
F10	-1.77583333333333
FAM134C	0.3709
COMP	5.231125
EFCBP1	-1.88506666666667
SCLT1	1.59025
TAL1	-0.6389
ACSL1	1.3545
ABCC5	-0.222666666666667
ABL1	-0.862555555555556
RBBP7	-0.17525
PTPRG	0.74275
NCOR1	0.0742
SPINK4	-1.71933333333333
TXNRD1	-2.1873
TNRC15	1.834125
C9orf138	1.5175
UBE2H	0.771833333333333
BRDT	2.236
C8orf31	-0.34325
CCNE2	-2.33545454545455
SLC6A8	-1.883375
CALCR	-4.6825
PPP1CB	0.660333333333333
ABHD8	-0.582
ARF5	0.4488
SLC24A4	0.55025
CCT3	-0.3745
ZNF121	0.083625
SLC3A2	-1.5737
OR13A1	0.49
SLC5A10	-0.3335
RAD50	-0.034625
IER5	-0.3205
MTHFD1L	-2.035625
MBTPS2	0.476
MVK	-0.81575
NCL	0.0677999999999999
PSMD10	-0.43875
MOBP	0.116
FLJ32894	0.0265
HRH1	0.3415
C5orf30	1.88625
NUDT16L1	1.5999
RASGRP3	3.54033333333333
PRKRIP1	-0.5083
CCDC75	1.24425
LOC253970	0.01275
KIAA1239	0.30875
MED21	-0.646
SYT11	0.339333333333333
NTSR2	-0.676
EGFL11	0.214
CXorf59	0.2105
OR2A25	0.46075
SPTBN2	-0.50925
LRMP	-1.0255
RNF111	-0.0655
PTH	-0.304
LOC619208	1.028
KIAA0895	0.591
RANBP5	-0.581
P2RY10	-0.152333333333333
NME5	4.46016666666667
DDX21	-0.35125
LRSAM1	-0.0225
HDAC11	1.136
VMO1	2.42325
NOLA2	-0.223666666666667
ADAR	-0.66925
MTO1	-1.1065
SF4	-0.0571666666666667
P2RX1	0.414
HBM	0.024
EN2	-0.5705
C14orf172	0.0675
TM9SF2	-0.329
INHBE	-1.96916666666667
TCTE3	-0.0508333333333333
TOX2	-2.86675
CTAGE3	0.747125
HBB	4.718
MED15	-1.447
CASR	-0.42775
C6orf66	-1.30466666666667
MTPN	0.46575
UNC50	-0.34425
C21orf33	0.49475
IRF2	1.346625
PGR	3.84433333333333
GPR84	1.97
CROCCL1	-2.686
SRPX	-0.175
BRE	0.0776666666666667
FGF10	1.17825
SDC3	-0.348
ZRSR1	0.2885
DKFZP434P211	-0.445
SOX6	0.1665
RPUSD2	0.244
C14orf173	-0.913333333333333
MAPK11	0.213833333333333
TBC1D22A	-0.018
FAM123A	-1.112
COL4A6	-1.4635
TOMM70A	0.011
NAB1	-0.091375
MGC16385	-0.36425
TSPAN18	1.40316666666667
MED31	-0.149
PLG	-0.4935
CAPSL	5.091
ZNF532	1.2677
ASB14	-0.2155
CA8	-0.94225
NUDT16P	1.956
SLFN11	-0.1045
LRRIQ2	0.276625
NOL7	-0.709
BRMS1L	-0.9055
JARID1A	0.705666666666667
PANK2	-0.32175
ICAM3	-0.7
MDS1	0.1525
TAF8	-0.48025
RNF139	1.5695
ZNF594	0.368
ADAM8	0.81875
SFTPC	-0.518
MAN2B2	1.088375
RGS12	0.234375
EIF1AY	-4.32581818181818
LRRIQ1	-0.5165
GPR150	-0.375
CCDC21	-2.00866666666667
PRRG3	0.38325
SAA4	-2.2725
RAPGEF5	0.494375
ZCCHC2	0.230083333333333
MGC39372	-0.623
PPP4R2	0.3015
CDCA2	-3.11516666666667
OR4D5	0.406666666666667
PTGFRN	0.9684
SIGLEC5	1.7555
C19orf61	-0.874666666666667
NMUR2	0.201
KIAA1586	-0.476666666666667
DAGLA	0.762833333333333
CHCHD6	-0.2445
GPR32	0.6575
NEUROD6	-0.0286666666666667
SLC2A4RG	0.14125
CA5B	0.20525
FBXL3	1.34225
MPHOSPH9	-2.24975
HMG2L1	-0.29225
HCN4	-0.583333333333333
CEACAM19	0.575
SH2D4B	0.309666666666667
HFE2	-0.722
TGM4	0.1318
LYPD2	0.6125
TBC1D15	0.185
MRPS21	-0.1629
NONO	-0.6783
CLEC5A	2.44175
ITCH	0.1357
MGAT3	-0.644666666666667
MBP	-0.9115
RPP25	-2.102
SOSTDC1	1.73575
HRC	-1.54275
TRIM48	0.9175
TMEM133	0.2205
ECEL1P2	-1.32125
HOXC11	0.662
DOK5	0.52525
HELZ	0.6685
LOC348180	-1.437
MGC33894	-0.03825
ADRB3	0.226
DMD	0.770416666666667
PTRH2	-0.67425
MPEG1	2.72066666666667
NDUFA12	-0.230833333333333
KRTAP2-4	-0.1555
STAMBPL1	-1.847
ADCY2	0.57
UNQ6125	-0.063
KLHL20	1.17916666666667
SRM	-1.2125
OTC	0.2315
TMIE	0.183
SNX8	-0.34675
LIPK	0.481
CHURC1	0.215083333333333
KLC2	0.0416666666666667
HDAC1	-0.866833333333333
FAM128A	0.0918333333333333
FNDC3B	-0.9811
MTCP1	-0.311333333333333
WFDC10B	-0.0226
PCDHGB3	0.00650000000000001
ATRNL1	-1.9094
CAV2	-0.070875
MED26	-0.0296666666666667
DUS1L	-0.14025
CHRM3	-1.615375
NEK9	-0.14175
WARS2	0.427
TBX22	0.4525
TOMM40	-0.935
RP6-213H19.1	-2.20283333333333
TUBGCP5	-0.627
IGSF6	5.3975
TPPP	0.136
UNQ6190	0.287
GSTM5	-0.0298750000000001
BTD	-0.0345
PDCD1LG2	-0.101
SNRPB2	-0.432666666666667
ERICH1	-0.00362499999999999
APOA4	-1.59425
HOXA11	-2.40175
NARG1	-0.491625
MKX	-0.3845
RAB28	-0.480928571428571
PKP3	1.66025
SH3GL2	-3.29725
CTSO	2.899
RPN2	-0.4373125
IL28RA	0.3895
SFMBT1	0.56725
WDR57	-0.314375
FER1L3	1.69216666666667
HSF5	0.179333333333333
TTC9B	-0.6285
C4BPA	-0.397166666666667
ALB	-3.25178571428571
SORBS3	-0.068125
UPF2	0.0485
JPH1	0.312
AGBL2	0.795
DOPEY1	2.1205
TERF1	0.260416666666667
KIF22	-0.2845
NINJ1	1.23025
SEC61A2	-0.945916666666667
HIST1H1D	-0.534
SFXN4	-0.2525
UCP3	0.119
ZNF703	1.12033333333333
MYL6B	-0.06925
TREM1	2.32375
OR52E6	0.3935
CKMT2	2.70125
HLA-C	1.382125
SLC13A3	-1.0415
TIMP4	-0.6515
SLIT2	3.64025
RSF1	0.641277777777778
LONRF1	-0.767714285714286
MON1A	-0.190333333333333
CACNG6	-1.36683333333333
DPPA4	-5.405
ZSWIM3	0.0155
ZNF804A	-0.0155
CCIN	1.7475
SLC25A31	-0.2045
KCNMB4	0.68925
RABL5	0.712375
GALNS	-0.4899
STX6	1.227125
HIST1H1C	-1.51983333333333
CIDEB	0.027
CASP4	0.3065
PDK3	-0.6415
KCNJ11	0.431
TPR	0.066375
ZSCAN20	-0.853
MTX2	0.06825
HIST1H2BH	-0.73475
LOC283767	2.64575
LYRM7	-1.30305555555556
BRD3	0.756333333333333
HIST1H2BO	-0.811
MAGEB10	0.3255
SLC45A1	0.39425
SERPINA3	0.53805
KIAA0143	1.3185
KCNJ16	3.01833333333333
KRT79	0.175
FABP2	-1.2025
NUT	0.0925
ZNF57	-0.4485
FBXL4	0.486125
CLEC9A	0.9825
UGT8	-0.660833333333333
BMP2K	0.32675
MAPK4	-3.24175
SLC25A23	-0.6683
HINT1	-1.1438
KRTAP13-1	0.1945
SFXN5	0.6439
CHCHD2	-0.083
FAM3D	3.28
NDP	2.853875
RHOBTB1	0.720666666666667
SLC4A4	-1.5075
RPL38	0.41925
HTF9C	-0.8215
AP2A2	0.10025
ZBTB46	-1.5105
MAP7D1	-0.109
AOX1	-1.01783333333333
CYR61	1.91325
DTNA	-1.04378571428571
JRKL	1.0195
TMOD3	0.4115
EEA1	0.0646
ADCK5	0.31675
IL1R1	2.23083333333333
KLK3	0.588071428571429
HRSP12	-0.138
KTN1	0.94625
LOH11CR2A	1.137
RELL2	-1.81225
MAB21L1	2.3145
C20orf59	-1.82733333333333
PHKB	-0.6265
ADAM2	-2.986
TBC1D8B	1.3965
FAM13A1	-0.4103125
LAPTM4B	-0.738166666666667
LCN8	-0.1765
TMEM147	0.3815
SYT4	0.433333333333333
XPO7	-1.432
C9orf62	-1.08725
GPR75	0.3205
TRIM5	0.185
APOC1	-0.646833333333333
RNASE4	0.915666666666667
PARD6B	-2.301
ARID1A	-0.195166666666667
TPD52L3	0.0482222222222222
RRAGB	1.13516666666667
RCN2	-0.2875
HIST2H2BE	-0.1669375
STARD7	-0.50225
SHMT2	-1.5025
KIAA1751	-0.543333333333333
MLYCD	-0.34775
LOC162632	-0.2093
UQCRH	-1.61525
RP11-217H1.1	0.2384375
SDHA	-2.031
NCLN	-0.8302
ZNF17	0.586166666666667
RCBTB2	-1.28825
VEGFB	-0.2769
RP4-747L4.3	-0.4315
COLQ	0.426
MPN2	-1.12933333333333
DRG2	-0.474
KLRB1	5.2085
ALPK2	-1.3855
DNASE2B	0.4495
FLJ23834	0.6988
AXUD1	0.971833333333333
SAFB	0.0226
NSUN4	-0.2965
RFX2	0.160333333333333
MAPK8IP1	-1.06866666666667
FANCD2	-1.319
ANKZF1	-1.75483333333333
C19orf50	-0.852875
DUSP8	0.615625
SENP5	-0.103875
NFKBIL2	-1.05875
LBR	-1.771125
IGFL1	2.129
LZTS2	0.622625
IL2RG	-1.299125
CCDC51	0.44975
KLF3	0.3235
ANKRD37	-0.896
KCTD14	0.172166666666667
FZR1	-0.114
SLC44A4	2.3462
ESPL1	-1.524125
GMPR2	-0.3874
TBC1D19	-0.6955
ERGIC1	-0.0394074074074074
ERBB4	3.4394
TSPAN32	-0.0739166666666667
MAP4	-0.35675
GPHN	0.3725
SLC6A2	0.129875
HIVEP1	0.7645
DFFB	-0.4511
EIF4EBP2	0.315875
DMRT1	-0.432
HSPB6	-0.17875
IER2	-0.068
AIFM1	0.0115
WWC2	0.667166666666667
MRPL4	-0.9515
FLJ21062	1.46433333333333
EPB41L4A	1.63041666666667
SH2D6	0.0755
TAF4B	-1.51525
GAL3ST3	0.5165
MALT1	-0.8685
RTDR1	0.9175
ARVCF	-0.000624999999999987
MEX3B	-1.312
FBXO16	0.8545
KIF7	-0.7725
C1QC	4.20583333333333
ZNF783	-0.348666666666667
ZNF85	0.3895
MMP13	4.7365
KIAA0329	0.969571428571428
RTP3	-0.83
ZBED3	0.49075
CLGN	-2.69275
SLC25A37	-1.275125
hCG_18290	0.5805
OR5AS1	0.634
SMARCC2	0.201
FAM109A	-0.450833333333333
CCDC12	0.24675
USF2	-0.2032
DEPDC7	-1.10575
C20orf24	-1.34466666666667
JMJD3	0.525
DSP	1.14357142857143
SLIC1	-0.02125
FAM20A	1.67475
IRF2BP2	0.0515
ZNF230	-0.4465
MSN	-0.5335
SLC9A5	-1.664
EPDR1	-1.8391
MUSK	-0.0363333333333333
