Hybridization REF	TCGA-A8-A08C-01A-11R-A00Z-07
C20orf32	-1.89
CCDC95	0.17
HIGD1B	4.53075
USP6NL	-0.229625
ABCD4	-0.244333333333333
DIMT1L	-0.564916666666667
TEK	0.984
SLC25A46	-1.11375
LARP7	-1.4346
CD160	0.066
MT1JP	-2.0555
PHF20	-0.1751875
CPNE4	-2.023
GTPBP1	0.183142857142857
RAB33B	1.132
ALDOC	-2.966375
ZNF212	-0.0855
NUDT1	-1.66316666666667
RFPL2	-1.1345
ZNF83	-0.0976666666666667
GDPD5	-1.6925
PDCD4	2.8848
CEP350	0.764
OR10A2	0.17425
CST7	-0.17275
CIAO1	-1.147
SELL	0.543875
OR8J3	-0.0845
LTBP4	-0.0508333333333333
SIRT6	-0.0515
CCL19	4.28075
PPIL1	-0.455166666666667
GBP7	0.018
STK17A	-1.7862
ABR	0.35975
OR9G1	0.139
FOXE1	-0.800375
CNGA3	1.3625
GML	0.328
CD38	-4.2345
ZDHHC6	-0.0663333333333333
NEFH	-2.78375
CTDSP2	0.611583333333333
PGBD5	-2.44766666666667
CCNY	0.211142857142857
RMND5B	0.51575
ZNF257	-1.389
FLJ22167	0.0295
EXOSC7	-0.579
ROR2	0.68975
MAOA	0.243375
TNNT3	0.765666666666667
GYPC	-1.6595
C7orf33	0.849
PLIN	3.4865
LOC90826	-0.2175
RNF4	-0.344
F8A1	-0.348333333333333
PLEKHG4	-0.91525
GRB2	0.2127
HIST1H2AD	0.8845
DUS3L	-0.317166666666667
EIF1	-0.626833333333333
RP5-1077B9.4	-0.908833333333333
FPGT	1.60625
GDF10	-1.01216666666667
COQ9	-0.80825
GCC2	-0.349071428571428
RARRES3	2.701875
PLXNA1	-0.2131
KIAA0100	0.0478
PMF1	0.76125
FNDC1	5.51675
HS2ST1	-0.0516666666666667
CRELD2	0.279
C8G	-1.6955
CD82	1.1405
LIM2	-1.108
UNQ6490	-0.6225
MMP16	-0.679
DRD3	0.028
C5orf26	-0.96275
C11orf73	-0.29125
PTP4A2	0.56425
OR4M2	0.337
HPCA	-0.930833333333334
SEC14L1	-1.18383333333333
CHFR	-0.851875
EMILIN1	0.685875
NDUFS4	-0.56225
COL18A1	-0.048
PDZD3	-0.1544
C9orf16	0.197666666666667
ERBB2IP	-0.00983333333333333
EMX2	2.54475
FUS	-1.1085
TF	-3.96066666666667
CLCN4	-1.2805
CXorf56	-0.192
C11orf72	0.398
ELAC2	-0.2265
NPR1	-0.9185
ASS1	-0.237833333333333
USP42	0.59025
POLR2J	-0.2905
SEC23IP	1.22633333333333
UQCRC1	0.32375
LOC729603	-0.153
C1orf71	0.37525
POLG	-2.524
ADAM23	-3.394
TFR2	-0.62875
RICTOR	-1.0044
MGC39606	0.90425
C19orf55	0.079625
SNAPC1	-1.62
GNA11	1.11975
CCDC52	0.0025
FSIP1	5.024
UPF3A	-0.284
IGSF11	-2.61383333333333
LAGE3	-0.02175
CHST6	-1.8535
UNC13B	0.5765
TTLL4	-0.586125
ZNF687	0.678125
SDC2	1.1632
COX7A2	0.1415
LAMB4	0.351
FAM24A	-0.4395
LRRTM3	-1.64516666666667
GPHB5	0.876
OR4C13	0.9385
EIF3EIP	0.611571428571429
HABP4	-1.129
TMEM125	4.239
CNTN2	-0.158625
ASNSD1	0.0195
FUT4	-0.703875
ACF	-3.766
LOC158381	0.177
CDH8	0.340666666666667
AGPS	0.606166666666667
C4orf18	5.316875
PECI	1.41075
UNG	-0.669625
GSTP1	-1.645125
DCUN1D5	-1.57316666666667
DKFZP564J0863	-1.1965
SLC9A3R1	0.650125
BCDO2	0.026625
CHMP7	0.36925
REM2	0.996
DNHD1	-0.865875
FKBP4	-0.174375
ZNF350	1.9175
MGC11102	-0.529625
BST1	1.13675
KISS1R	1.291
NCR2	0.7065
DEFB125	0.0705
UBE2W	1.1465
KRT15	-2.262125
C10orf99	0.2665
SCN11A	0.112
GFI1	-3.29475
RDHE2	3.41866666666667
FHL1	-1.25233333333333
OSGEP	-0.399333333333333
GATA1	-3.36266666666667
SMC6	-1.331
TTTY14	-1.09725
LPIN3	-0.0995
RPL4	-0.17
RBPMS	-0.902
PRPF3	0.171
EMR1	-2.2935
SPATA19	-0.19775
XCR1	0.3185
IRX3	1.7776
RBM6	-0.48525
KLF4	-1.8628
UNC5CL	2.51075
SEBOX	-0.0205
BTK	-1.22275
KRCC1	1.32025
C6orf27	0.542
SYTL5	-0.563
PRND	1.93625
LOC653319	-1.603
PIGL	-1.641625
HUS1	0.2235
SFRS6	-0.163333333333333
C17orf77	0.4365
UIMC1	-0.909333333333333
FXYD2	-1.832
LOC283152	3.02525
ZNF667	-2.04425
ZCCHC12	-1.5705
TFEC	2.4169
ATP7B	-0.412166666666667
POLD2	-0.306333333333333
RG9MTD1	0.64
ACOT2	0.0475
HIST1H4I	0.02425
PPARGC1A	-3.0949
ETFA	-0.554
POLRMT	0.06425
ZNF146	-0.415625
MIA2	-1.4845
KLHL6	-1.59433333333333
HOXB5	-1.147625
NENF	0.767333333333333
CUGBP1	0.6725
PRSS22	1.60333333333333
CASC4	0.9865
CUL4B	0.0911
CENPJ	-2.3442
PITX1	-1.86283333333333
FLJ31033	0.540833333333333
CELSR3	0.154166666666667
ZNF568	0.626
ITSN1	-0.1035
EHBP1L1	-0.616
C19orf2	-0.25025
DCTN1	0.60675
LIN28B	-3.475
TNKS2	-0.059
C1QBP	-0.318
CADPS2	0.1555
SRMS	0.425
GJA9	0.642333333333333
MGC24975	-0.219166666666667
TRIM45	-0.719333333333333
TSP50	1.18475
TCP1	-1.00425
TMED7	0.4092
CMA1	0.269
CENPL	-0.914
PTCRA	-0.1125
FST	-3.7195
VWCE	-4.0965
PAWR	-0.579
ABCC12	3.4645
LDLR	-1.6481
ASTN2	-0.2266
LOC441212	-0.69525
GPATCH8	0.25425
TANC2	-1.68991666666667
KIF4A	-2.444
C18orf18	-1.47425
PGM1	-1.21775
KIAA0258	0.99975
CPD	0.16775
SNCAIP	-2.2175
DCT	-4.074
HLA-DOA	2.78463636363636
OR11L1	0.475
UPK1B	-0.5335
DNAJB4	0.2315
UGT1A8	-0.829
HIST1H4L	-1.725
PECR	-1.34033333333333
HSPA2	2.023
WFIKKN1	-1.6305
SERP1	1.621875
SYDE2	0.6155
TACR2	0.9745
NUP85	-0.98425
CD177	-1.1145
LGR5	-2.56716666666667
PIGG	0.41325
PTHR1	-1.44883333333333
RAB5A	0.4027
FLJ13224	0.004
USP9Y	-1.9372
C7orf53	-0.408
LRP1B	-1.72275
XAF1	0.8673
ABCG8	-0.4325
ANKDD1A	-1.00316666666667
DAND5	-1.258
SPAG6	0.288333333333333
LINCR	-0.1985
ZDHHC22	-1.400375
CCDC60	0.324
THOC7	-0.642
TCTA	0.9971
OR8K3	0.03425
NY-REN-7	-0.9415
B2M	1.62033333333333
C6orf141	-0.89775
LPPR4	0.59175
SQLE	-2.15275
SEPHS1	-1.0845
BTBD14B	0.371
PLRG1	-0.4715
SPG7	-0.7014375
ZNF614	-0.2395
PARD6G	0.165833333333333
INPP5B	-0.4834
GRPEL2	-0.406875
PPID	-0.6114
TRIM56	0.29525
UBE2J1	-0.520125
IL20RA	4.87175
LOC387856	-0.23825
C1orf107	1.76175
UTS2R	1.17875
C19orf22	-0.18875
SAFB2	-0.2455
KIAA0652	0.563375
KLRG1	0.0901666666666667
MS4A8B	0.1575
FRAG1	0.333
KIAA1546	0.19825
E2F4	-1.4085
CLEC4M	0.144166666666667
BTBD14A	-0.75875
KIAA0999	1.588
GYPA	-4.3765
TAC1	-0.5658
TRAIP	-1.2755
KIAA0232	0.5741
ERCC8	-1.5435
GPX4	0.91775
KIAA0368	0.49175
GPR157	0.115833333333333
CTAGE4	2.3695
C9orf30	-1.14266666666667
OR52A1	0.5715
HSP90B3P	-0.9665
ALG9	-0.4106
BTBD10	-0.00825
SDK2	0.19175
BAIAP3	3.02275
RABGGTB	-0.624125
ANKRD40	0.519666666666667
KRT74	-0.328
CALCOCO2	0.321428571428572
SNCA	-3.368
TMSL8	-4.555125
C2orf53	0.162
ESRRB	-0.2185
ARHGAP26	-0.00425000000000002
TDRD9	-3.039
HRAS	-0.308666666666667
KLRC4	-2.149
JAGN1	0.169333333333333
BSDC1	0.53725
RNF43	-1.7135
NDUFAF1	0.1475
PHF12	0.16375
OR1L3	0.44075
FOLR2	1.192
LYZL6	0.2846
tcag7.1260	-2.308
WSB1	-1.977
PROS1	-1.7908
OSTN	0.8595
PSMB8	1.39
SOCS4	-0.124875
DDIT4L	0.3635
MAS1	0.608
MGC34796	1.486
CSHL1	0.147333333333333
TBCCD1	0.185333333333333
ZBTB7C	0.606
AP2S1	-0.29225
P15RS	0.4728
VAT1	-0.3414
SHANK3	1.26983333333333
TUFM	0.562666666666667
THEG	-0.67825
KRT34	-2.09525
SGSM3	0.264875
TOMM22	-0.51575
SOCS3	-0.327833333333333
CPO	1.571
POP4	-0.12575
BHLHB3	2.174
MALL	0.3845
OR1B1	0.869
PARK2	1.26733333333333
GPR124	0.1615
LCE1E	0.97
RUVBL2	-0.18525
CGRRF1	0.3822
ACPL2	1.318
WNT10B	-1.2605
BAIAP2L2	-2.094375
ISCA1	0.598
C1orf125	0.341
RPAP1	-0.598
RAI16	1.059
RPL27	-0.2155
NLRP9	-0.064
EPN1	0.146
LOC388610	-0.888
SLC35A1	0.9064
GAL	-4.4245
SLC14A2	0.329
RDH11	-1.02133333333333
FAM138F	0.178
AUH	0.753
FLJ40243	1.7835
C14orf129	0.3895
MBD2	-0.6315
ABHD14B	0.55
PIGT	0.744375
ALS2CR4	-0.882375
ALAS1	0.7344
FOXO1	0.754166666666667
CRLF3	-0.695
C20orf107	-1.3685
FARS2	1.623
CCDC28A	2.07975
NPHP3	-0.808
OR13F1	0.387
TSEN54	-0.73725
DEFB106B	0.238888888888889
OR8B4	0.3705
STH	2.88575
ZC3H14	-0.55425
CBX2	0.4675
TMEM49	-2.07175
C6orf21	0.9315
FLJ20920	1.90825
CRTAP	0.589214285714286
DDX50	-0.375
STYXL1	0.35525
BLVRB	-0.629666666666667
LOC147650	0.325166666666667
MMP24	-0.2075
GRID1	1.15866666666667
BANF1	-0.587333333333333
CTAGEP	0.88725
HMBS	-1.75325
SLC25A24	1.53883333333333
C14orf50	1.5885
MRO	1.26616666666667
SLC25A15	-0.48225
FAM84B	2.2742
TDP1	-0.6285
C16orf78	-0.193833333333333
C11orf57	0.060625
RFK	-0.783
ZFYVE9	0.137875
STCH	-0.8424
WIBG	0.666
LOC283871	-0.8515
GBA2	0.125
NDUFB3	-0.5015
HSD17B13	-1.12475
GRIN3A	0.686166666666667
FMNL1	-0.539333333333333
SEPT7	-1.0089
GNLY	3.2595
GRAMD1C	0.504
ZNF165	1.35375
USP38	-0.0735
FAM83A	-3.193
C14orf24	0.795416666666667
ARMCX3	0.971
ARHGDIB	2.47
AK1	1.067
KIAA1045	-0.47175
DNAJB13	0.169166666666667
NEU2	-0.169
HIST1H4B	-1.15616666666667
FAM20B	0.2592
HES2	1.32842857142857
FAM73B	-0.0842
LOC388381	0.76725
INTS7	0.354363636363636
AMPH	0.55775
ZNF775	0.340375
UCKL1	-0.538333333333333
C10orf97	-0.1655
C1orf161	0.43875
ALDH1L1	-1.1775
FLJ39378	-0.15375
SLC23A1	-1.998
RBM4B	0.15475
THAP4	0.632166666666667
OGFRL1	-0.01125
KIAA0831	0.368625
PPP1R15A	-0.5675
C1orf96	-0.513428571428571
C12orf11	-1.8935
BMF	-0.35625
MAN1A1	0.036375
KIAA1600	0.476833333333333
NLGN4X	-1.40875
ALOX12	-1.0645
RB1CC1	0.6294
NEIL2	1.5205
EIF4E	-0.157
ABHD5	0.63175
EXOC4	0.798333333333333
CIP29	-1.06233333333333
BATF2	0.0675
SLC29A4	-0.9065
HTR4	0.576
EMB	0.14975
TRAF6	0.58225
LMNB1	-4.1005
FAM19A5	-0.21825
SHE	1.419
PIK3C2B	0.24425
C15orf15	-0.0601
USP15	-0.8195
TCEAL2	0.31625
C5orf39	-1.60566666666667
PTGER2	-2.11275
SLC31A1	-0.3614375
IFT172	1.23775
ADAM29	0.15775
GFOD1	-0.66425
ST7L	0.670166666666667
C15orf26	-2.81575
PKN3	0.983
CNTD1	3.59466666666667
COMMD1	0.232875
NTRK2	1.44725
FOXN3	-0.893875
MFGE8	-1
PFKFB2	0.615166666666667
TAS2R4	-0.11275
ENTHD1	-0.692833333333333
PRMT5	-0.3925
MGC16384	-1.040125
LOC442229	-0.258
TSKU	0.754875
KRTCAP3	3.874625
PDLIM1	1.8062
KCNS2	0.338
RNF126	-0.264666666666667
CEP63	0.113
CLIC4	-1.11125
hCG_1990170	-1.78525
ACR	0.8301
KLK7	-0.86725
ALOX5AP	3.788625
RIPK3	4.7145
TAS2R9	0.5965
C19orf18	2.6315
BIRC6	-0.314214285714286
ZNF16	1.362
RFT1	0.0945
SLC8A2	-0.628
TACC1	-1.37725
ITGAD	1.45125
SAMHD1	0.641
SH3PXD2B	0.9191
EPC2	0.91625
C20orf85	1.47275
ATP13A2	0.3215
KRT4	0.282375
CAPNS1	0.41875
MDM2	-0.745083333333333
PCDH20	1.441
KCNK9	1.024
OR2C1	0.0625
KLHDC3	-0.2075
IPPK	1.013
EFHD2	-0.266125
GALR3	1.112
NBEA	-0.819333333333333
ABCA6	2.5055
CLDN3	0.541
AKT2	0.179357142857143
EGFR	-3.5696
RBM16	0.314
ZDHHC3	0.2487
SLC25A4	-0.418
CYB5B	-2.04716666666667
CPXM1	0.42825
NDRG1	-2.62515384615385
FLJ43826	-0.0865
OR5L2	0.426
FARP2	0.3311
MRPL46	-0.465916666666667
LDHAL6B	0.1638
MAPKAPK3	0.4135
NCAM2	-0.28875
PRKD2	0.755
ZFP36L1	0.9395
CYSLTR1	0.5085
OR4C3	0.43175
HIST1H2AJ	1.33
CCNB2	-3.02544444444444
ZNF10	-0.17725
TMEM175	0.42
FAM134A	1.16216666666667
TIGD4	0.7125
PCNP	0.2005
MGC39715	-0.36375
LQK1	-0.31075
CREB1	0.3415
TMPRSS3	0.53675
C4orf32	1.512125
LAT	-2.35266666666667
KCNA3	-1.0775
SKIV2L2	-0.87575
ROPN1B	-3.93875
tcag7.23	-0.384
CDT1	-3.5205
ZHX2	1.22825
CD28	-4.13975
ZNF624	1.0105
SEPT2	0.159583333333333
SOHLH2	-1.66275
MCOLN3	-0.887875
UNQ1945	0.783
MASP2	-0.9225
ZNRF3	-0.3145
GPATCH3	-0.27175
AGL	-0.160625
QRICH2	-0.255
PSD4	0.630333333333333
CCNB1IP1	-1.66125
ENPP7	0.1595
OBFC1	0.15275
KCNG3	-2.55825
C14orf79	1.56691666666667
ENPEP	1.824
SCT	1.637
SKI	0.83725
SEC61G	-0.7795
CAPN11	0.88675
ATXN7L3	0.21775
DBNDD1	-0.214833333333333
FAIM	0.55625
ANKRD36	-1.0985
GABRP	-0.8098
TACSTD2	0.121
EIF3J	-0.6485
PPP2R2A	-0.15975
TEKT4	0.254166666666667
PVALB	-4.0125
F10	-3.19433333333333
FAM134C	0.8395
COMP	4.073375
EFCBP1	-3.8234375
SCLT1	-0.953
TAL1	-1.4778
ACSL1	-0.785
ABCC5	-0.236166666666667
ABL1	-0.3835
RBBP7	-0.436083333333333
PTPRG	-0.848375
NCOR1	-0.0258
SPINK4	4.436
TXNRD1	-1.6622
TNRC15	0.81375
C9orf138	1.281125
UBE2H	1.51966666666667
BRDT	-0.0516666666666666
C8orf31	0.5825
CCNE2	-2.70527272727273
SLC6A8	-0.800625
CALCR	-4.78775
PPP1CB	0.270083333333333
ABHD8	0.057
ARF5	-0.0536
SLC24A4	-0.364
CCT3	0.54375
ZNF121	0.29075
SLC3A2	-1.012
OR13A1	0.8375
SLC5A10	-0.10325
RAD50	0.022375
IER5	0.104125
MTHFD1L	-2.803
MBTPS2	0.06075
MVK	-0.765
NCL	-0.3536
PSMD10	-0.58375
MOBP	0.309125
FLJ32894	0.431
HRH1	-0.871166666666667
C5orf30	1.482
NUDT16L1	1.6968
RASGRP3	3.35366666666667
PRKRIP1	-0.4488
CCDC75	-0.79475
LOC253970	0.326
KIAA1239	0.15225
MED21	-0.1995
SYT11	-0.24825
NTSR2	-0.3235
EGFL11	-0.1265
CXorf59	1.0035
OR2A25	-0.1
SPTBN2	-1.64125
LRMP	-2.07516666666667
RNF111	0.09325
PTH	-0.0865
LOC619208	1.49483333333333
KIAA0895	1.62825
RANBP5	-1.167625
P2RY10	4.8265
NME5	5.18133333333333
DDX21	-1.00225
LRSAM1	0.655
HDAC11	1.66183333333333
VMO1	1.51675
NOLA2	-0.0845
ADAR	1.67566666666667
MTO1	-0.522666666666667
SF4	0.355666666666667
P2RX1	-0.4775
HBM	-0.07525
EN2	1.401
C14orf172	0.295
TM9SF2	0.9946
INHBE	-1.59616666666667
TCTE3	0.274
TOX2	-3.83275
CTAGE3	0.3115
HBB	2.8185
MED15	-0.678333333333333
CASR	0.7785
C6orf66	-0.659166666666667
MTPN	-0.327375
UNC50	0.08625
C21orf33	0.305625
IRF2	0.544
PGR	-2.20333333333333
GPR84	2.49775
CROCCL1	-2.2565
SRPX	-1.87175
BRE	0.653166666666667
FGF10	4.9175
SDC3	0.200333333333333
ZRSR1	0.302333333333333
DKFZP434P211	0.27675
SOX6	-0.117
RPUSD2	0.1515
C14orf173	-0.41375
MAPK11	-0.443166666666667
TBC1D22A	0.7105
FAM123A	-1.003
COL4A6	3.045
TOMM70A	0.4575
NAB1	0.12
MGC16385	-0.507125
TSPAN18	-0.398333333333333
MED31	-0.085
PLG	-0.6555
CAPSL	3.708
ZNF532	0.5579
ASB14	0.862
CA8	1.6435
NUDT16P	2.149
SLFN11	-2.1055
LRRIQ2	0.97225
NOL7	-0.1715
BRMS1L	-0.933
JARID1A	-0.151833333333333
PANK2	-1.1735
ICAM3	-0.071
MDS1	-0.88325
TAF8	-0.49725
RNF139	0.96125
ZNF594	-0.137
ADAM8	1.97675
SFTPC	-0.03675
MAN2B2	1.149375
RGS12	0.8665625
EIF1AY	-4.87566666666667
LRRIQ1	2.5065
GPR150	1.2355
CCDC21	-0.860666666666667
PRRG3	0.0135
SAA4	-3.40625
RAPGEF5	2.420625
ZCCHC2	1.24141666666667
MGC39372	1.319
PPP4R2	0.0638333333333333
CDCA2	-2.28416666666667
OR4D5	0.2815
PTGFRN	0.569
SIGLEC5	2.194
C19orf61	-0.0638333333333333
NMUR2	0.832
KIAA1586	-0.645666666666667
DAGLA	0.257333333333333
CHCHD6	-0.32975
GPR32	0.739
NEUROD6	-0.033
SLC2A4RG	0.027875
CA5B	-0.423
FBXL3	1.49075
MPHOSPH9	-1.01625
HMG2L1	0.386
HCN4	0.822666666666667
CEACAM19	0.3365
SH2D4B	0.3715
HFE2	-1.9405
TGM4	0.345
LYPD2	0.556
TBC1D15	0.3785
MRPS21	0.3557
NONO	-0.9008
CLEC5A	2.456625
ITCH	-0.7384
MGAT3	-1.02366666666667
MBP	0.143
RPP25	-1.94675
SOSTDC1	-3.80625
HRC	-1.74375
TRIM48	-0.366
TMEM133	0.94875
ECEL1P2	-1.29725
HOXC11	-1.157
DOK5	-0.357
HELZ	-0.227666666666667
LOC348180	-1.05425
MGC33894	0.61775
ADRB3	0.722
DMD	-0.45075
PTRH2	-0.7415
MPEG1	2.556
NDUFA12	-0.369666666666667
KRTAP2-4	-0.136416666666667
STAMBPL1	-1.6085
ADCY2	-0.6435
UNQ6125	0.292
KLHL20	0.230833333333333
SRM	-0.8625
OTC	0.13175
TMIE	2.31533333333333
SNX8	-0.2665
LIPK	0.8195
CHURC1	-0.4205
KLC2	0.283166666666667
HDAC1	-0.331666666666667
FAM128A	0.3345
FNDC3B	-0.6078
MTCP1	-0.453833333333333
WFDC10B	-0.2077
PCDHGB3	0.352
ATRNL1	-2.6876
CAV2	-1.569375
MED26	-0.0136666666666667
DUS1L	0.80625
CHRM3	-1.98875
NEK9	0.6325
WARS2	0.85225
TBX22	-0.527
TOMM40	-1.15575
RP6-213H19.1	-1.58833333333333
TUBGCP5	-0.46075
IGSF6	4.237
TPPP	1.41433333333333
UNQ6190	0.357
GSTM5	1.658
BTD	2.33933333333333
PDCD1LG2	0.0583333333333333
SNRPB2	-0.8885
ERICH1	-0.28975
APOA4	-1.29875
HOXA11	-1.561
NARG1	-0.326625
MKX	5.97175
RAB28	-0.188928571428571
PKP3	1.541
SH3GL2	2.297
CTSO	2.53925
RPN2	-0.00162499999999999
IL28RA	0.281666666666667
SFMBT1	1.38625
WDR57	-1.108625
FER1L3	-0.0743333333333333
HSF5	0.293
TTC9B	0.96525
C4BPA	-3.946
ALB	-3.99321428571429
SORBS3	0.27825
UPF2	-0.499
JPH1	-0.0245
AGBL2	0.219
DOPEY1	1.6
TERF1	-0.06225
KIF22	0.0173333333333333
NINJ1	1.92675
SEC61A2	-0.96425
HIST1H1D	-1.23866666666667
SFXN4	-0.004
UCP3	0.5128
ZNF703	1.80066666666667
MYL6B	-0.588
TREM1	1.67875
OR52E6	0.739
CKMT2	0.64275
HLA-C	2.113
SLC13A3	-1.35116666666667
TIMP4	-1.09525
SLIT2	1.37525
RSF1	-0.183
LONRF1	-0.0985
MON1A	0.231833333333333
CACNG6	-1.586
DPPA4	-5.02266666666667
ZSWIM3	-0.09925
ZNF804A	0.111833333333333
CCIN	0.9775
SLC25A31	0.79975
KCNMB4	-1.35675
RABL5	1.387625
GALNS	-0.6628
STX6	0.905375
HIST1H1C	-1.1405
CIDEB	1.35475
CASP4	0.332166666666667
PDK3	-1.3063
KCNJ11	2.079
TPR	0.0825
ZSCAN20	-0.2445
MTX2	-0.4685
HIST1H2BH	0.52
LOC283767	0.32925
LYRM7	-0.498722222222222
BRD3	1.04616666666667
HIST1H2BO	0.72175
MAGEB10	0.0685
SLC45A1	1.864
SERPINA3	1.4512
KIAA0143	1.89225
KCNJ16	-0.465666666666667
KRT79	0.244
FABP2	-0.482
NUT	-0.5695
ZNF57	-0.02375
FBXL4	0.74025
CLEC9A	0.556
UGT8	-1.786
BMP2K	-0.8335
MAPK4	-3.52925
SLC25A23	-0.0567
HINT1	0.3737
KRTAP13-1	-0.232
SFXN5	-1.2376
CHCHD2	0.249583333333333
FAM3D	1.208
NDP	-3.56925
RHOBTB1	-0.562333333333333
SLC4A4	-1.74875
RPL38	0.00525
HTF9C	-0.346666666666667
AP2A2	0.828
ZBTB46	0.316
MAP7D1	-0.226125
AOX1	-2.31583333333333
CYR61	-1.15508333333333
DTNA	0.219357142857143
JRKL	-2.011
TMOD3	-1.159
EEA1	-0.2228
ADCK5	-0.37825
IL1R1	0.0401666666666667
KLK3	1.01907142857143
HRSP12	-0.0015
KTN1	0.11375
LOH11CR2A	1.4813
RELL2	-1.40575
MAB21L1	0.8605
C20orf59	-1.29016666666667
PHKB	-0.5255
ADAM2	-2.186
TBC1D8B	1.64966666666667
FAM13A1	-1.3149375
LAPTM4B	-1.04
LCN8	0.5255
TMEM147	0.5085
SYT4	-0.0156
XPO7	0.2085
C9orf62	1.47975
GPR75	-0.6155
TRIM5	0.339875
APOC1	-0.7215
RNASE4	1.06216666666667
PARD6B	0.34675
ARID1A	0.45625
TPD52L3	0.0556666666666667
RRAGB	0.802
RCN2	-1.34283333333333
HIST2H2BE	1.32075
STARD7	-0.5265
SHMT2	-1.318
KIAA1751	0.0158333333333333
MLYCD	0.36975
LOC162632	-0.5776
UQCRH	-1.8025
RP11-217H1.1	0.1956875
SDHA	-0.470666666666667
NCLN	-0.4216
ZNF17	0.409
RCBTB2	-2.19225
VEGFB	0.1375
RP4-747L4.3	0.7115
COLQ	0.5042
MPN2	-1.09716666666667
DRG2	0.0495
KLRB1	4.09275
ALPK2	-3.165
DNASE2B	0.05325
FLJ23834	0.1765
AXUD1	-0.226833333333333
SAFB	-0.5022
NSUN4	-0.0335
RFX2	-1.7075
MAPK8IP1	0.855333333333333
FANCD2	-1.41171428571429
ANKZF1	-1.1495
C19orf50	-0.393375
DUSP8	1.9745
SENP5	-0.541
NFKBIL2	-0.4955
LBR	-1.249625
IGFL1	0.5525
LZTS2	0.7245
IL2RG	-1.12775
CCDC51	0.47575
KLF3	0.46475
ANKRD37	-2.1485
KCTD14	-1.06066666666667
FZR1	0.428833333333333
SLC44A4	4.6333
ESPL1	-1.243
GMPR2	0.2508
TBC1D19	0.3485
ERGIC1	0.935037037037037
ERBB4	4.6586
TSPAN32	-0.0013636363636364
MAP4	0.5555
GPHN	-0.36675
SLC6A2	-0.280375
HIVEP1	1.24975
DFFB	-0.0912
EIF4EBP2	0.264625
DMRT1	-0.53075
HSPB6	0.126
IER2	-0.6665
AIFM1	-0.267
WWC2	-0.674166666666666
MRPL4	-0.4795
FLJ21062	3.53066666666667
EPB41L4A	0.407416666666667
SH2D6	0.38325
TAF4B	-0.25825
GAL3ST3	0.0385
MALT1	-0.944
RTDR1	-0.17425
ARVCF	0.725
MEX3B	-1.97383333333333
FBXO16	2.51675
KIF7	-1.75425
C1QC	4.29083333333333
ZNF783	-0.151833333333333
ZNF85	-0.74525
MMP13	2.263
KIAA0329	0.203
RTP3	-1.217
ZBED3	-0.051
CLGN	0.86375
SLC25A37	-0.855958333333333
hCG_18290	0.773
OR5AS1	0.35
SMARCC2	0.583166666666667
FAM109A	0.381333333333333
CCDC12	0.000249999999999998
USF2	0.6877
DEPDC7	-2.27075
C20orf24	-1.1725
JMJD3	0.49
DSP	-3.16
SLIC1	0.463625
FAM20A	-0.23075
IRF2BP2	0.737
ZNF230	0.338
MSN	-0.726857142857143
SLC9A5	-1.691
EPDR1	-1.0876
MUSK	0.612833333333333
ZNF434	0.580333333333333
SMARCD1	-0.236833333333333
ZFP106	-0.01825
ZNF347	0.2604
GTF2E1	-0.48225
