Hybridization REF	TCGA-AN-A0FT-01A-11R-A034-07
RICTOR	-1.0637
MGC39606	-0.5315
C19orf55	0.054
SNAPC1	-0.839833333333333
GNA11	0.51025
CCDC52	0.857833333333333
FSIP1	-0.729
UPF3A	0.11075
IGSF11	-2.36883333333333
LAGE3	1.08075
CHST6	-0.736
UNC13B	-0.314
TTLL4	-1.140625
ZNF687	0.45
SDC2	-1.1406
COX7A2	0.36125
LAMB4	-0.1975
FAM24A	-0.225
LRRTM3	-0.803
GPHB5	0.612
OR4C13	0.0745
EIF3EIP	0.184
HABP4	-1.6625
TMEM125	3.925
CNTN2	0.5615
ASNSD1	-0.85925
FUT4	-1.158125
ACF	-3.14875
LOC158381	-1.1825
CDH8	0.19125
AGPS	-0.372333333333333
C4orf18	2.75275
PECI	0.712333333333333
UNG	-0.0215
GSTP1	-2.47325
DCUN1D5	-2.7385
DKFZP564J0863	-1.482
SLC9A3R1	-0.084375
BCDO2	0.292375
CHMP7	-0.49275
REM2	0.844
DNHD1	0.19775
FKBP4	0.422125
ZNF350	2.08975
MGC11102	0.01525
BST1	0.73525
KISS1R	2.0225
NCR2	0.551
DEFB125	0.565
UBE2W	0.870125
KRT15	-1.437625
C10orf99	1.247
SCN11A	0.128857142857143
GFI1	-2.67475
RDHE2	-0.958333333333333
FHL1	-1.03766666666667
OSGEP	0.557666666666667
GATA1	-2.7185
SMC6	-1.49675
TTTY14	-0.61275
LPIN3	0.09625
RPL4	-1.6919
RBPMS	0.1344
PRPF3	-0.1
EMR1	-1.4895
SPATA19	0.37625
XCR1	0.7145
IRX3	2.3699
RBM6	-0.599
KLF4	-1.2034
UNC5CL	-1.4085
SEBOX	-0.091
BTK	-0.8015
KRCC1	0.91475
C6orf27	0.7195
SYTL5	-1.0965
PRND	2.811375
LOC653319	-0.348
PIGL	-0.958375
HUS1	-0.396
SFRS6	0.401416666666667
C17orf77	0.3945
UIMC1	-0.876166666666667
FXYD2	-1.3288
LOC283152	2.21775
ZNF667	-2.06275
ZCCHC12	-1.399
TFEC	1.8101
ATP7B	1.86183333333333
POLD2	-1.29183333333333
RG9MTD1	-0.16975
ACOT2	0.0348333333333333
HIST1H4I	-0.140125
PPARGC1A	-2.60555555555556
ETFA	-2.3541
POLRMT	-0.18725
ZNF146	-0.5425
MIA2	-1.16
KLHL6	-0.588833333333333
HOXB5	-0.9535
NENF	0.954
CUGBP1	0.7435
PRSS22	3.16283333333333
CASC4	2.4444
CUL4B	-0.0525
CENPJ	-1.3911
PITX1	1.92633333333333
FLJ31033	1.046
CELSR3	1.963
ZNF568	0.5
ITSN1	0.0445833333333333
EHBP1L1	-1.1015
C19orf2	-0.4255
DCTN1	-0.7465
LIN28B	-3.185
TNKS2	-0.296
C1QBP	-0.362375
CADPS2	2.434
SRMS	0.7115
GJA9	-0.151166666666667
MGC24975	-0.3695
TRIM45	0.471666666666667
TSP50	-0.445
TCP1	-1.67825
TMED7	-0.2487
CMA1	-1.1285
CENPL	-1.47133333333333
PTCRA	0.6955
FST	-3.393
VWCE	-3.86
PAWR	1.06625
ABCC12	0.911333333333333
LDLR	-0.4616
ASTN2	1.8779
LOC441212	-1.40225
GPATCH8	-0.04
TANC2	-0.4155
KIF4A	-2.72875
C18orf18	-1.35725
PGM1	-2.5595
KIAA0258	-0.36225
CPD	3.77275
SNCAIP	-0.89
DCT	-3.81066666666667
HLA-DOA	2.58654545454545
OR11L1	1.0905
UPK1B	-0.703
DNAJB4	-1.349125
UGT1A8	-0.05825
HIST1H4L	-0.431
PECR	-0.883833333333333
HSPA2	2.91825
WFIKKN1	-0.311
SERP1	-0.45925
SYDE2	1.07
TACR2	1.0185
NUP85	-1.06025
CD177	1.47183333333333
LGR5	-1.43566666666667
PIGG	-0.847833333333333
PTHR1	-1.21533333333333
RAB5A	0.1039
FLJ13224	-0.534
USP9Y	-1.41533333333333
C7orf53	-1.795
LRP1B	-1.224
XAF1	3.1535
ABCG8	-1.211
ANKDD1A	-0.9525
DAND5	-2.9015
SPAG6	7.45966666666667
LINCR	1.10975
ZDHHC22	-1.27625
CCDC60	0.173
THOC7	-1.49583333333333
TCTA	0.2821
OR8K3	-0.15325
NY-REN-7	-0.429
B2M	0.364333333333333
C6orf141	-2.744875
LPPR4	1.221
SQLE	0.175625
SEPHS1	-0.84725
BTBD14B	1.70164285714286
PLRG1	-1.58875
SPG7	-0.585625
ZNF614	-0.225
PARD6G	1.86766666666667
INPP5B	-1.3873
GRPEL2	-0.795125
PPID	-1.2007
TRIM56	-0.6285
UBE2J1	-0.65575
IL20RA	4.68875
LOC387856	0.267
C1orf107	0.88575
UTS2R	1.99475
C19orf22	0.517
SAFB2	0.94275
KIAA0652	-0.780375
KLRG1	-0.737833333333333
MS4A8B	1.37166666666667
FRAG1	1.00575
KIAA1546	-0.34575
E2F4	-0.935
CLEC4M	0.6405
BTBD14A	-0.58625
KIAA0999	-0.0552
GYPA	-3.38383333333333
TAC1	-0.4151
TRAIP	-1.34716666666667
KIAA0232	0.9539
ERCC8	-2.249875
GPX4	0.814625
KIAA0368	-0.27825
GPR157	-0.573
CTAGE4	-0.172
C9orf30	-2.40283333333333
OR52A1	0.343
HSP90B3P	-0.867
ALG9	-1.1478
BTBD10	-0.5875
SDK2	0.19
BAIAP3	2.01475
RABGGTB	-1.007875
ANKRD40	-1.31766666666667
KRT74	0.719
CALCOCO2	0.246
SNCA	-3.3125
TMSL8	-5.5555
C2orf53	0.627
ESRRB	-0.36775
ARHGAP26	-0.940125
TDRD9	-2.1085
HRAS	0.181
KLRC4	-2.2655
JAGN1	0.142166666666667
BSDC1	1.483
RNF43	0.0638
NDUFAF1	0.33525
PHF12	1.0675
OR1L3	0.0175
FOLR2	1.81475
LYZL6	0.2318
tcag7.1260	-1.805
WSB1	-1.29666666666667
PROS1	-0.7478
OSTN	1.0285
PSMB8	0.378
SOCS4	-1.02175
DDIT4L	0.9885
MAS1	0.6745
MGC34796	1.27
CSHL1	0.0528333333333334
TBCCD1	-0.252
ZBTB7C	0.713
AP2S1	-0.11425
P15RS	-0.5625
VAT1	0.2941
SHANK3	1.97783333333333
TUFM	0.0868333333333333
THEG	2.208
KRT34	-1.8555
SGSM3	0.730375
TOMM22	-0.735625
SOCS3	2.09433333333333
CPO	0.5395
POP4	0.236
BHLHB3	3.08325
MALL	0.75425
OR1B1	0.4595
PARK2	-0.1125
GPR124	1.126125
LCE1E	0.5305
RUVBL2	-1.023
CGRRF1	-1.1489
ACPL2	-0.7895
WNT10B	-1.625625
BAIAP2L2	-1.478
ISCA1	-0.497
C1orf125	-0.40025
RPAP1	0.22575
RAI16	0.774333333333333
RPL27	-1.02575
NLRP9	0.1625
EPN1	0.2215
LOC388610	-0.918375
SLC35A1	2.2083
GAL	-3.14
SLC14A2	0.49075
RDH11	0.008
FAM138F	-0.076
AUH	-0.41975
FLJ40243	-0.04225
C14orf129	-1.32133333333333
MBD2	0.338166666666667
ABHD14B	0.23575
PIGT	0.118125
ALS2CR4	-0.598125
ALAS1	-0.5103
FOXO1	0.883166666666667
CRLF3	1.178375
C20orf107	-0.1745
FARS2	-0.35975
CCDC28A	-0.019
NPHP3	-0.76875
OR13F1	0.4025
TSEN54	-0.3915
DEFB106B	0.4452
OR8B4	1.0385
STH	-0.68225
ZC3H14	-0.854
CBX2	0.2445
TMEM49	-1.6855
C6orf21	0.81
FLJ20920	0.482375
CRTAP	-0.344714285714286
DDX50	-0.195
STYXL1	-1.28825
BLVRB	0.4735
LOC147650	-0.4375
MMP24	0.16675
GRID1	1.43266666666667
BANF1	-0.713666666666667
CTAGEP	0.222
HMBS	-1.821
SLC25A24	-0.7545
C14orf50	1.91575
MRO	0.970833333333333
SLC25A15	0.1805
FAM84B	1.759
TDP1	-1.1555
C16orf78	0.416333333333333
C11orf57	1.163625
RFK	-0.476375
ZFYVE9	-1.896
STCH	-1.1018
WIBG	1.82775
LOC283871	-0.818333333333333
GBA2	-1.0317
NDUFB3	-0.301
HSD17B13	-0.54
GRIN3A	0.656333333333333
FMNL1	-0.969666666666666
SEPT7	-0.2667
GNLY	2.86
GRAMD1C	1.63266666666667
ZNF165	0.02425
USP38	1.445
FAM83A	-3.15866666666667
C14orf24	0.961416666666667
ARMCX3	-0.261
ARHGDIB	-0.0751666666666667
AK1	0.59575
KIAA1045	-0.55775
DNAJB13	-0.491833333333333
NEU2	0.005
HIST1H4B	-0.208333333333333
FAM20B	-0.3829
HES2	1.33114285714286
FAM73B	-0.249
LOC388381	-0.19575
INTS7	-0.353818181818182
AMPH	-0.342
ZNF775	0.274375
UCKL1	-1.2605
C10orf97	-2.70325
C1orf161	-0.1475
ALDH1L1	-1.25775
FLJ39378	-0.066625
SLC23A1	-0.5905
RBM4B	-0.3445
THAP4	-0.239166666666667
OGFRL1	-0.89875
KIAA0831	-0.27775
PPP1R15A	0.357166666666667
C1orf96	-0.222928571428571
C12orf11	-1.982
BMF	0.8825
MAN1A1	-1.865375
KIAA1600	0.4495
NLGN4X	-2.03975
ALOX12	-0.7435
RB1CC1	0.5134
NEIL2	0.4806
EIF4E	-0.0631818181818182
ABHD5	-1.0615
EXOC4	-0.449
CIP29	-0.155166666666667
BATF2	-0.1965
SLC29A4	-0.5515
HTR4	0.4135
EMB	-0.0225
TRAF6	-0.1765
LMNB1	-0.80275
FAM19A5	-0.2075
SHE	1.32375
PIK3C2B	3.2165
C15orf15	-1.5657
USP15	0.3543
TCEAL2	-0.153
C5orf39	-0.0741666666666667
PTGER2	-1.4485
SLC31A1	-0.9045
IFT172	0.49775
ADAM29	0.74275
GFOD1	1.53575
ST7L	0.5015
C15orf26	-2.75975
PKN3	-1.1875
CNTD1	1.252
COMMD1	-0.584
NTRK2	2.34583333333333
FOXN3	-0.48325
MFGE8	-0.7767
PFKFB2	1.73333333333333
TAS2R4	0.08
ENTHD1	0.193833333333333
PRMT5	-1.9015
MGC16384	-1.306125
LOC442229	-0.867
TSKU	0.85775
KRTCAP3	2.582625
PDLIM1	1.2457
KCNS2	0.6235
RNF126	0.177833333333333
CEP63	-0.060875
CLIC4	-1.083875
hCG_1990170	-1.38725
ACR	0.6959
KLK7	-0.255
ALOX5AP	1.862625
RIPK3	4.38325
TAS2R9	0.595
C19orf18	0.9975
BIRC6	-0.3965
ZNF16	0.732
RFT1	-0.096
SLC8A2	-1.6865
TACC1	0.662125
ITGAD	0.50475
SAMHD1	0.45975
SH3PXD2B	0.7307
EPC2	1.16375
C20orf85	0.68275
ATP13A2	-0.0501666666666667
KRT4	0.8425
CAPNS1	-0.75825
MDM2	0.945416666666667
PCDH20	0.9515
KCNK9	0.985
OR2C1	0.127
KLHDC3	-1.2185
IPPK	-0.3315
EFHD2	0.57125
GALR3	2.08875
NBEA	3.058
ABCA6	2.0435
CLDN3	2.39
AKT2	-0.0542857142857143
EGFR	-2.7876
RBM16	0.4685
ZDHHC3	0.7582
SLC25A4	-0.9335
CYB5B	-2.191
CPXM1	-0.13
NDRG1	-1.062
FLJ43826	0.63725
OR5L2	0.5995
FARP2	0.3082
MRPL46	-1.37933333333333
LDHAL6B	-0.203
MAPKAPK3	-0.138166666666667
NCAM2	-1.73175
PRKD2	0.0476666666666667
ZFP36L1	1.3101
CYSLTR1	-0.17
OR4C3	0.059
HIST1H2AJ	2.867
CCNB2	-3.39333333333333
ZNF10	0.128125
TMEM175	1.018
FAM134A	0.445166666666667
TIGD4	0.2585
PCNP	-1.74325
MGC39715	0.2805
LQK1	0.00850000000000001
CREB1	-0.1218
TMPRSS3	1.6085
C4orf32	1.36375
LAT	-1.76225
KCNA3	-0.0925
SKIV2L2	-1.5695
ROPN1B	-4.02125
tcag7.23	-1.24
CDT1	-2.634125
ZHX2	1.915
CD28	-2.866
ZNF624	1.8815
SEPT2	-0.45575
SOHLH2	-0.12425
MCOLN3	-1.56871428571429
UNQ1945	1.041
MASP2	-0.722
ZNRF3	1.5813
GPATCH3	-0.43575
AGL	0.02175
QRICH2	-0.557
PSD4	0.849666666666667
CCNB1IP1	-1.5985
ENPP7	0.18125
OBFC1	-0.70075
KCNG3	-3.47675
C14orf79	2.05616666666667
ENPEP	2.00483333333333
SCT	2.1935
SKI	1.932375
SEC61G	-0.85825
CAPN11	-0.03525
ATXN7L3	0.24275
DBNDD1	1.2165
FAIM	-0.82325
ANKRD36	1.3605
GABRP	-0.486333333333333
TACSTD2	2.28616666666667
EIF3J	-1.05925
PPP2R2A	-2.14525
TEKT4	0.226333333333333
PVALB	0.951166666666667
F10	-2.10916666666667
FAM134C	0.935
COMP	5.334125
EFCBP1	-2.9369375
SCLT1	0.573625
TAL1	-0.1588
ACSL1	-1.1225
ABCC5	-0.0035
ABL1	0.042
RBBP7	-0.731666666666667
PTPRG	-1.061125
NCOR1	-0.2713
SPINK4	2.62883333333333
TXNRD1	-1.6345
TNRC15	2.599625
C9orf138	0.395625
UBE2H	0.795666666666667
BRDT	1.38666666666667
C8orf31	0.612
CCNE2	-0.622454545454546
SLC6A8	-1.42025
CALCR	-3.91625
PPP1CB	-0.52525
ABHD8	-0.1945
ARF5	0.3898
SLC24A4	0.21825
CCT3	0.29775
ZNF121	0.9535
SLC3A2	-0.9498
OR13A1	1.209
SLC5A10	0.47725
RAD50	-1.081625
IER5	0.497
MTHFD1L	-2.38075
MBTPS2	-0.049
MVK	-0.270875
NCL	-0.3017
PSMD10	-1.352
MOBP	0.839375
FLJ32894	0.093
HRH1	0.2695
C5orf30	-0.0665
NUDT16L1	0.4104
RASGRP3	3.96733333333333
PRKRIP1	-0.5989
CCDC75	1.644
LOC253970	0.583
KIAA1239	0.25825
MED21	-1.31225
SYT11	0.16975
NTSR2	-0.0145
EGFL11	0.7455
CXorf59	0.354
OR2A25	-0.00775
SPTBN2	-0.7455
LRMP	-1.386
RNF111	-1.74725
PTH	0.4275
LOC619208	-0.5915
KIAA0895	-1.353
RANBP5	-0.858875
P2RY10	1.81366666666667
NME5	4.25183333333333
DDX21	-0.73125
LRSAM1	0.1145
HDAC11	1.08166666666667
VMO1	2.5115
NOLA2	-0.8005
ADAR	0.483666666666667
MTO1	-1.37933333333333
SF4	-0.0353333333333333
P2RX1	-0.0413333333333333
HBM	0.63375
EN2	2.0185
C14orf172	1.4325
TM9SF2	-0.5898
INHBE	-1.03233333333333
TCTE3	0.0830833333333333
TOX2	-2.80625
CTAGE3	1.232625
HBB	4.1122
MED15	-0.272833333333333
CASR	0.78675
C6orf66	-1.25
MTPN	0.0705
UNC50	-0.99675
C21orf33	0.535375
IRF2	1.123
PGR	1.20766666666667
GPR84	1.7465
CROCCL1	-2.9605
SRPX	-1.20825
BRE	-0.598
FGF10	1.04575
SDC3	-0.642
ZRSR1	-0.028
DKFZP434P211	-0.376875
SOX6	0.447
RPUSD2	0.52
C14orf173	0.356583333333333
MAPK11	0.0243333333333334
TBC1D22A	1.1755
FAM123A	-2.6495
COL4A6	-4.42366666666667
TOMM70A	-1.0435
NAB1	-0.43875
MGC16385	-0.0635
TSPAN18	1.06816666666667
MED31	-0.09925
PLG	-0.2285
CAPSL	0.206
ZNF532	0.7215
ASB14	0.28375
CA8	1.13075
NUDT16P	-0.457666666666667
SLFN11	-1.448
LRRIQ2	0.68375
NOL7	-0.0406666666666667
BRMS1L	-1.493
JARID1A	1.21116666666667
PANK2	-0.7405
ICAM3	0.08575
MDS1	1.769
TAF8	0.24625
RNF139	1.23275
ZNF594	0.1785
ADAM8	2.78
SFTPC	0.14125
MAN2B2	0.50475
RGS12	0.358875
EIF1AY	-4.22691666666667
LRRIQ1	-1.349
GPR150	2.03925
CCDC21	-2.0135
PRRG3	0.52125
SAA4	-4.02225
RAPGEF5	2.30125
ZCCHC2	0.676333333333333
MGC39372	-0.6025
PPP4R2	0.249833333333333
CDCA2	-2.7215
OR4D5	0.500333333333333
PTGFRN	0.2515
SIGLEC5	2.04083333333333
C19orf61	-0.7175
NMUR2	0.1685
KIAA1586	-0.598166666666667
DAGLA	-0.0956666666666667
CHCHD6	-0.9165
GPR32	0.2665
NEUROD6	0.505666666666667
SLC2A4RG	0.982375
CA5B	1.46925
FBXL3	-0.22575
MPHOSPH9	-2.44575
HMG2L1	0.69325
HCN4	1.18216666666667
CEACAM19	0.9545
SH2D4B	-0.4415
HFE2	-0.386
TGM4	0.8395
LYPD2	0.09125
TBC1D15	-0.40875
MRPS21	1.1246
NONO	-1.8757
CLEC5A	1.361875
ITCH	-0.0588
MGAT3	-0.7805
MBP	-1.198
RPP25	-0.7255
SOSTDC1	-2.93675
HRC	-0.583
TRIM48	-0.0275
TMEM133	-0.546
ECEL1P2	-0.905
HOXC11	1.4785
DOK5	-0.09075
HELZ	0.7265
LOC348180	-0.85675
MGC33894	0.66675
ADRB3	0.4855
DMD	0.140083333333333
PTRH2	0.23175
MPEG1	3.044
NDUFA12	-0.00916666666666667
KRTAP2-4	0.401166666666667
STAMBPL1	-2.81966666666667
ADCY2	0.987333333333333
UNQ6125	-1.066
KLHL20	1.08683333333333
SRM	-1.669
OTC	0.03875
TMIE	0.606833333333333
SNX8	0.4635
LIPK	0.113
CHURC1	-0.0955
KLC2	0.611666666666667
HDAC1	-0.1685
FAM128A	-0.2375
FNDC3B	-0.4617
MTCP1	-0.858666666666667
WFDC10B	0.4081
PCDHGB3	0.0295
ATRNL1	-2.6278
CAV2	-1.457875
MED26	-0.0941666666666667
DUS1L	1.344
CHRM3	-1.2755
NEK9	-0.02425
WARS2	0.04575
TBX22	0.1405
TOMM40	-0.59
RP6-213H19.1	-0.1835
TUBGCP5	-1.367
IGSF6	6.20325
TPPP	0.959
UNQ6190	-1.138
GSTM5	0.00975000000000004
BTD	-0.61
PDCD1LG2	-0.129166666666667
SNRPB2	0.130666666666667
ERICH1	0.631375
APOA4	-1.14475
HOXA11	-1.92625
NARG1	-0.133875
MKX	-1.08525
RAB28	-1.44171428571429
PKP3	1.502
SH3GL2	-3.09075
CTSO	1.59875
RPN2	0.415375
IL28RA	1.6215
SFMBT1	0.7025
WDR57	-1.762125
FER1L3	0.711166666666667
HSF5	0.212833333333333
TTC9B	0.6135
C4BPA	-3.34066666666667
ALB	-4.03642857142857
SORBS3	0.994375
UPF2	0.094
JPH1	-0.552
AGBL2	0.96275
DOPEY1	1.5725
TERF1	-0.0806666666666667
KIF22	-0.163333333333333
NINJ1	1.7705
SEC61A2	-0.831083333333333
HIST1H1D	0.630166666666667
SFXN4	0.336625
UCP3	0.7751
ZNF703	2.17216666666667
MYL6B	0.064
TREM1	2.054
OR52E6	0.3
CKMT2	-0.02175
HLA-C	1.403875
SLC13A3	-2.32983333333333
TIMP4	-2.03025
SLIT2	3.035
RSF1	-0.125833333333333
LONRF1	-1.30835714285714
MON1A	0.0418333333333333
CACNG6	2.60433333333333
DPPA4	-4.287
ZSWIM3	-0.286
ZNF804A	0.0496666666666667
CCIN	1.65875
SLC25A31	0.28425
KCNMB4	-0.712
RABL5	-0.01625
GALNS	0.205
STX6	2.1725
HIST1H1C	0.039
CIDEB	-1.065125
CASP4	-0.5125
PDK3	-0.6788
KCNJ11	0.75
TPR	0.692375
ZSCAN20	-1.4745
MTX2	-0.41675
HIST1H2BH	0.3885
LOC283767	-0.14425
LYRM7	-1.75244444444444
BRD3	1.69716666666667
HIST1H2BO	0.19075
MAGEB10	-0.401
SLC45A1	-0.45225
SERPINA3	1.0199
KIAA0143	0.4765
KCNJ16	0.0438333333333333
KRT79	0.44375
FABP2	-0.67475
NUT	-0.15175
ZNF57	-1.29225
FBXL4	-1.011
CLEC9A	0.1695
UGT8	-1.45583333333333
BMP2K	0.000749999999999996
MAPK4	-3.21875
SLC25A23	-0.3027
HINT1	-1.9823
KRTAP13-1	0.5175
SFXN5	0.4305
CHCHD2	0.40425
FAM3D	1.2785
NDP	-3.347125
RHOBTB1	1.15916666666667
SLC4A4	-0.966375
RPL38	-1.159
HTF9C	0.953833333333333
AP2A2	0.180625
ZBTB46	-0.883
MAP7D1	-0.56525
AOX1	1.23166666666667
CYR61	1.65725
DTNA	0.314642857142857
JRKL	-0.14
TMOD3	-0.16875
EEA1	-0.14
ADCK5	1.12075
IL1R1	0.231
KLK3	0.728928571428571
HRSP12	0.0675
KTN1	0.333
LOH11CR2A	-0.8958
RELL2	-1.002
MAB21L1	0.43075
C20orf59	-0.631833333333333
PHKB	-0.44875
ADAM2	-1.59783333333333
TBC1D8B	0.168666666666667
FAM13A1	-1.154125
LAPTM4B	-1.88391666666667
LCN8	0.2535
TMEM147	0.512
SYT4	-0.376333333333333
XPO7	-0.6975
C9orf62	2.3875
GPR75	-0.734
TRIM5	-0.501
APOC1	1.42183333333333
RNASE4	-1.70716666666667
PARD6B	0.70525
ARID1A	0.0714166666666667
TPD52L3	-0.132666666666667
RRAGB	0.074
RCN2	-1.85166666666667
HIST2H2BE	0.874
STARD7	-0.04875
SHMT2	-0.71925
KIAA1751	-0.1435
MLYCD	-0.79025
LOC162632	-0.5391
UQCRH	-2.249
RP11-217H1.1	-0.3200625
SDHA	-2.06116666666667
NCLN	-0.4682
ZNF17	0.0818333333333333
RCBTB2	-2.0875
VEGFB	-0.1834
RP4-747L4.3	0.028
COLQ	-0.3144
MPN2	-0.866166666666667
DRG2	-0.71725
KLRB1	4.78775
ALPK2	-1.7305
DNASE2B	1.489
FLJ23834	-0.586833333333333
AXUD1	1.3485
SAFB	0.9238
NSUN4	-0.70825
RFX2	0.502
MAPK8IP1	-0.356166666666667
FANCD2	-0.852785714285714
ANKZF1	-1.435
C19orf50	-0.775625
DUSP8	1.21225
SENP5	0.288625
NFKBIL2	-0.329
LBR	-2.033875
IGFL1	0.362
LZTS2	1.071125
IL2RG	-1.039625
CCDC51	0.07025
KLF3	-0.272125
ANKRD37	-1.42125
KCTD14	-0.969166666666667
FZR1	0.0829166666666667
SLC44A4	3.407
ESPL1	-0.978875
GMPR2	-0.7218
TBC1D19	-1.64716666666667
ERGIC1	1.075
ERBB4	1.919
TSPAN32	0.0406666666666667
MAP4	-0.305125
GPHN	-1.0245
SLC6A2	0.38075
HIVEP1	0.42025
DFFB	-0.4095
EIF4EBP2	0.5635
DMRT1	-0.648
HSPB6	0.1025
IER2	2.02716666666667
AIFM1	1.1465
WWC2	1.08066666666667
MRPL4	-0.42075
FLJ21062	0.542333333333333
EPB41L4A	0.425416666666667
SH2D6	0.40425
TAF4B	-1.59575
GAL3ST3	-0.256
MALT1	-1.69616666666667
RTDR1	-0.11025
ARVCF	0.786875
MEX3B	-1.626
FBXO16	0.9015
KIF7	-1.7465
C1QC	4.84716666666667
ZNF783	-0.3645
ZNF85	-1.1565
MMP13	3.39
KIAA0329	1.89
RTP3	-0.724
ZBED3	0.14975
CLGN	-5.329
SLC25A37	-1.45433333333333
hCG_18290	-0.047
OR5AS1	0.1145
SMARCC2	1.203
FAM109A	0.0783333333333333
CCDC12	0.37675
USF2	0.3479
DEPDC7	-1.9795
C20orf24	-2.117
JMJD3	1.1465
DSP	1.40607142857143
SLIC1	0.398125
FAM20A	0.6175
IRF2BP2	1.80175
ZNF230	-0.505
MSN	-0.401928571428571
SLC9A5	-0.2645
EPDR1	-1.7747
