Hybridization REF	TCGA-C8-A12T-01A-11R-A115-07
KLHL6	-0.868
HOXB5	-0.332375
NENF	0.0135
CUGBP1	-1.14025
PRSS22	0.58
CASC4	0.5802
CUL4B	-0.00569999999999999
CENPJ	-0.8477
PITX1	-1.04383333333333
FLJ31033	1.485
CELSR3	-0.751833333333333
ZNF568	0.53025
ITSN1	0.268583333333333
EHBP1L1	-1.1085
C19orf2	-0.15975
DCTN1	0.7115
LIN28B	-4.44566666666667
TNKS2	1.15375
C1QBP	0.059
CADPS2	1.55575
SRMS	0.5775
GJA9	0.118
MGC24975	-0.9015
TRIM45	-0.817666666666667
TSP50	-0.2195
TCP1	-0.0805
TMED7	-0.4732
CMA1	0.4895
CENPL	-0.168666666666667
PTCRA	-0.3825
FST	-3.20875
VWCE	-3.98275
PAWR	0.79975
ABCC12	0.712666666666667
LDLR	0.0126
ASTN2	1.0665
LOC441212	-0.796375
GPATCH8	0.236
TANC2	-0.123583333333333
KIF4A	-0.7515
C18orf18	-1.232
PGM1	-1.65425
KIAA0258	0.035
CPD	-0.294875
SNCAIP	-1.2545
DCT	-4.17966666666667
HLA-DOA	2.80268181818182
OR11L1	0.4985
UPK1B	-0.289166666666667
DNAJB4	-0.174625
UGT1A8	-0.428
HIST1H4L	-1.047
PECR	-1.4275
HSPA2	1.05175
WFIKKN1	-2.324
SERP1	0.64375
SYDE2	0.54975
TACR2	0.487
NUP85	-0.7155
CD177	0.948166666666667
LGR5	-1.237
PIGG	-0.5425
PTHR1	-0.938166666666667
RAB5A	0.4702
FLJ13224	-0.3765
USP9Y	-2.651
C7orf53	-1.4715
LRP1B	-0.7325
XAF1	1.9365
ABCG8	-0.287
ANKDD1A	-0.587
DAND5	-2.383
SPAG6	0.579666666666667
LINCR	-0.40425
ZDHHC22	-1.412125
CCDC60	0.758
THOC7	-0.097
TCTA	1.2153
OR8K3	0.53425
NY-REN-7	-0.4355
B2M	1.1285
C6orf141	-1.5175
LPPR4	2.675
SQLE	-0.654375
SEPHS1	0.1925
BTBD14B	-0.413714285714286
PLRG1	-0.155
SPG7	-0.8028125
ZNF614	1.23516666666667
PARD6G	-0.0786666666666667
INPP5B	0.0186
GRPEL2	-0.2415
PPID	-0.2246
TRIM56	-0.60675
UBE2J1	0.5905
IL20RA	5.8465
LOC387856	1.45875
C1orf107	0.477666666666667
UTS2R	-1.50925
C19orf22	0.866
SAFB2	-0.04175
KIAA0652	-0.226125
KLRG1	-0.451166666666667
MS4A8B	-0.062
FRAG1	0.315
KIAA1546	0.283
E2F4	-0.7502
CLEC4M	-0.417
BTBD14A	-1.36775
KIAA0999	0.4672
GYPA	-4.69333333333333
TAC1	1.9803
TRAIP	-0.485
KIAA0232	0.6201
ERCC8	-0.34925
GPX4	0.041625
KIAA0368	-0.27675
GPR157	-0.803833333333333
CTAGE4	1.3445
C9orf30	-0.503833333333333
OR52A1	-0.294
HSP90B3P	0.2085
ALG9	-0.6756
BTBD10	1.0695
SDK2	-0.192
BAIAP3	-1.81875
RABGGTB	-1.221875
ANKRD40	1.55083333333333
KRT74	0.1525
CALCOCO2	2.84242857142857
SNCA	-2.8565
TMSL8	-3.517375
C2orf53	0.052
ESRRB	-0.29
ARHGAP26	-1.2875
TDRD9	-2.93425
HRAS	0.073
KLRC4	-1.9685
JAGN1	-0.460833333333333
BSDC1	0.04525
RNF43	-0.1727
NDUFAF1	-0.11975
PHF12	0.55175
OR1L3	1.0685
FOLR2	1.99808333333333
LYZL6	-0.118833333333333
tcag7.1260	-1.241
WSB1	0.3415
PROS1	-0.8718
OSTN	0.775
PSMB8	0.51575
SOCS4	-0.05475
DDIT4L	2.635
MAS1	-0.55
MGC34796	0.558
CSHL1	0.320166666666667
TBCCD1	0.631833333333333
ZBTB7C	0.242
AP2S1	-0.7565
P15RS	-0.1128
VAT1	-0.6138
SHANK3	-0.132833333333333
TUFM	-0.619
THEG	-0.395
KRT34	-1.9965
SGSM3	0.142625
TOMM22	-0.00687499999999999
SOCS3	1.07483333333333
CPO	-0.4835
POP4	0.36525
BHLHB3	0.528
MALL	1.13975
OR1B1	0.4225
PARK2	1.4755
GPR124	0.772125
LCE1E	0.228
RUVBL2	0.609
CGRRF1	0.6271
ACPL2	-0.19225
WNT10B	-2.512375
BAIAP2L2	-2.26325
ISCA1	0.1345
C1orf125	-0.00674999999999999
RPAP1	-1.432
RAI16	0.4355
RPL27	-1.34225
NLRP9	0.671
EPN1	1.617
LOC388610	-0.387875
SLC35A1	0.5041
GAL	-3.526
SLC14A2	0.49925
RDH11	-0.43
FAM138F	0.392
AUH	-0.08575
FLJ40243	0.29775
C14orf129	0.566
MBD2	0.978166666666667
ABHD14B	0.4295
PIGT	-0.669625
ALS2CR4	0.106625
ALAS1	0.2187
FOXO1	1.21116666666667
CRLF3	-1.021
C20orf107	0.7445
FARS2	0.545
CCDC28A	-0.29775
NPHP3	-0.896
OR13F1	0.48
TSEN54	-0.36275
DEFB106B	0.5294
OR8B4	-0.415
STH	1.297
ZC3H14	-0.075375
CBX2	0.292
TMEM49	-1.27375
C6orf21	0.4
FLJ20920	1.6345
CRTAP	0.560857142857143
DDX50	0.264
STYXL1	0.19425
BLVRB	-0.877833333333334
LOC147650	-0.199
MMP24	0.1745
GRID1	2.40983333333333
BANF1	0.681666666666667
CTAGEP	0.2805
HMBS	-2.35025
SLC25A24	0.323666666666667
C14orf50	1.06
MRO	2.19666666666667
SLC25A15	-0.6045
FAM84B	2.6536
TDP1	-0.0105
C16orf78	-0.318
C11orf57	-0.380875
RFK	-0.507125
ZFYVE9	-1.283125
STCH	-0.2099
WIBG	0.42625
LOC283871	-0.6465
GBA2	-0.7016
NDUFB3	-0.195
HSD17B13	-0.7935
GRIN3A	1.88766666666667
FMNL1	-0.482333333333333
SEPT7	-0.5406
GNLY	3.3615
GRAMD1C	0.675833333333333
ZNF165	1.50925
USP38	0.943
FAM83A	-3.3345
C14orf24	0.866083333333333
ARMCX3	1.577125
ARHGDIB	0.5885
AK1	-0.659625
KIAA1045	0.26725
DNAJB13	-0.535833333333333
NEU2	1.1915
HIST1H4B	-1.29016666666667
FAM20B	-0.4091
HES2	0.4385
FAM73B	-0.574
LOC388381	-0.069
INTS7	-0.421545454545455
AMPH	2.6415
ZNF775	-1.1185
UCKL1	-0.468
C10orf97	0.31075
C1orf161	-0.42325
ALDH1L1	-2.08
FLJ39378	0.20975
SLC23A1	-1.021
RBM4B	0.66875
THAP4	-0.416833333333333
OGFRL1	-0.40625
KIAA0831	0.371625
PPP1R15A	0.549333333333333
C1orf96	-0.565642857142857
C12orf11	0.00875
BMF	1.055875
MAN1A1	0.044
KIAA1600	1.26183333333333
NLGN4X	-0.9365
ALOX12	-1.78216666666667
RB1CC1	0.4237
NEIL2	1.2317
EIF4E	0.498318181818182
ABHD5	0.499
EXOC4	0.129166666666667
CIP29	0.315
BATF2	0.62125
SLC29A4	-0.398
HTR4	0.9435
EMB	-1.03675
TRAF6	0.7495
LMNB1	-2.32025
FAM19A5	-1.28775
SHE	1.63125
PIK3C2B	0.664
C15orf15	-0.1971
USP15	-0.1638
TCEAL2	1.5965
C5orf39	-1.73383333333333
PTGER2	0.516
SLC31A1	-0.38125
IFT172	-0.0225
ADAM29	0.481
GFOD1	-1.10525
ST7L	0.7215
C15orf26	-3.0135
PKN3	-2.09675
CNTD1	1.702
COMMD1	0.137125
NTRK2	1.50658333333333
FOXN3	0.4235
MFGE8	0.8904
PFKFB2	0.681833333333333
TAS2R4	-0.9435
ENTHD1	1.745
PRMT5	-0.083375
MGC16384	-1.47325
LOC442229	-0.6915
TSKU	-0.031625
KRTCAP3	-3.25575
PDLIM1	0.825
KCNS2	0.07725
RNF126	-0.871833333333333
CEP63	0.0155
CLIC4	1.37725
hCG_1990170	-1.16275
ACR	0.6392
KLK7	5.1025
ALOX5AP	2.69625
RIPK3	2.68175
TAS2R9	0.2615
C19orf18	2.9345
BIRC6	0.2975
ZNF16	1.1205
RFT1	-0.4025
SLC8A2	0.22025
TACC1	0.728875
ITGAD	1.604
SAMHD1	1.325
SH3PXD2B	1.5588
EPC2	0.0925
C20orf85	0.271375
ATP13A2	0.608166666666667
KRT4	0.061625
CAPNS1	0.8355
MDM2	-1.08733333333333
PCDH20	2.0265
KCNK9	0.687
OR2C1	1.2905
KLHDC3	-0.450666666666667
IPPK	0.7735
EFHD2	-0.682
GALR3	-1.73625
NBEA	1.28533333333333
ABCA6	2.9775
CLDN3	0.0903333333333333
AKT2	-0.675571428571428
EGFR	-1.2357
RBM16	0.246
ZDHHC3	0.5198
SLC25A4	0.309833333333333
CYB5B	-0.320333333333333
CPXM1	1.24775
NDRG1	-0.650615384615385
FLJ43826	-0.01375
OR5L2	0.00650000000000001
FARP2	-0.1629
MRPL46	-1.09733333333333
LDHAL6B	0.0873333333333333
MAPKAPK3	0.0738333333333333
NCAM2	1.4125
PRKD2	-0.252666666666667
ZFP36L1	0.4073
CYSLTR1	-1.515
OR4C3	-0.3055
HIST1H2AJ	0.366
CCNB2	-1.02433333333333
ZNF10	0.010875
TMEM175	-0.4115
FAM134A	0.339166666666667
TIGD4	-0.6705
PCNP	0.000750000000000001
MGC39715	0.6585
LQK1	-3.1115
CREB1	0.7259
TMPRSS3	-2.7745
C4orf32	0.91675
LAT	-1.79583333333333
KCNA3	-0.0865
SKIV2L2	-0.34575
ROPN1B	-3.50025
tcag7.23	0.7825
CDT1	-1.836875
ZHX2	1.444125
CD28	-2.47875
ZNF624	1.91375
SEPT2	0.13075
SOHLH2	-0.2005
MCOLN3	-0.831875
UNQ1945	0.1245
MASP2	-1.721
ZNRF3	0.00350000000000002
GPATCH3	0.06075
AGL	2.211125
QRICH2	-0.1525
PSD4	1.10016666666667
CCNB1IP1	-1.45425
ENPP7	-0.114
OBFC1	0.72025
KCNG3	-3.16125
C14orf79	0.48125
ENPEP	3.1815
SCT	2.077
SKI	0.45325
SEC61G	-0.26475
CAPN11	0.4295
ATXN7L3	-0.00975
DBNDD1	0.446833333333333
FAIM	0.75325
ANKRD36	-1.301
GABRP	3.10433333333333
TACSTD2	1.70433333333333
EIF3J	-0.993
PPP2R2A	0.6655
TEKT4	-0.196166666666667
PVALB	2.90183333333333
F10	-2.08533333333333
FAM134C	0.5383
COMP	3.858625
EFCBP1	-2.7013125
SCLT1	0.49625
TAL1	-1.1053
ACSL1	1.9995
ABCC5	-0.661666666666667
ABL1	-0.329944444444444
RBBP7	0.136083333333333
PTPRG	-0.474375
NCOR1	0.4918
SPINK4	-0.615
TXNRD1	-1.8738
TNRC15	-0.24275
C9orf138	0.830875
UBE2H	0.791833333333333
BRDT	4.338
C8orf31	-0.38875
CCNE2	0.863181818181818
SLC6A8	-2.307125
CALCR	-4.64125
PPP1CB	0.858833333333333
ABHD8	0.22375
ARF5	0.3105
SLC24A4	0.6965
CCT3	-0.177
ZNF121	0.642125
SLC3A2	-0.3338
OR13A1	0.593
SLC5A10	-0.80425
RAD50	-0.051375
IER5	-1.172625
MTHFD1L	-1.80875
MBTPS2	0.22875
MVK	0.121375
NCL	-0.6565
PSMD10	0.369
MOBP	-0.0155
FLJ32894	2.2255
HRH1	0.646166666666667
C5orf30	2.03425
NUDT16L1	0.0167
RASGRP3	3.75283333333333
PRKRIP1	-0.7524
CCDC75	0.42
LOC253970	0.26425
KIAA1239	0.61825
MED21	-0.80675
SYT11	0.649083333333333
NTSR2	-1.282
EGFL11	-0.00950000000000001
CXorf59	0.626
OR2A25	0.08625
SPTBN2	0.572
LRMP	-1.803
RNF111	0.22175
PTH	0.679
LOC619208	0.247166666666667
KIAA0895	1.44375
RANBP5	-0.20625
P2RY10	0.826333333333333
NME5	4.0205
DDX21	-0.18825
LRSAM1	0.39
HDAC11	1.08116666666667
VMO1	1.39625
NOLA2	0.2325
ADAR	-0.00533333333333331
MTO1	-0.353333333333333
SF4	0.106
P2RX1	0.220833333333333
HBM	0.00750000000000001
EN2	-1.3515
C14orf172	0.02925
TM9SF2	0.4926
INHBE	-1.11683333333333
TCTE3	0.0478333333333334
TOX2	-3.18225
CTAGE3	0.78025
HBB	2.2127
MED15	-0.611
CASR	0.08925
C6orf66	-0.915333333333333
MTPN	-0.116
UNC50	-0.386
C21orf33	-0.76425
IRF2	0.775
PGR	2.29733333333333
GPR84	2.99775
CROCCL1	-3.16
SRPX	-0.4805
BRE	0.6645
FGF10	2.33825
SDC3	0.280666666666667
ZRSR1	0.621833333333333
DKFZP434P211	-0.782125
SOX6	0.0155
RPUSD2	-1.2275
C14orf173	-0.25375
MAPK11	-0.7315
TBC1D22A	0.55
FAM123A	-0.3695
COL4A6	-2.5645
TOMM70A	0.6235
NAB1	-0.393375
MGC16385	-0.851875
TSPAN18	-0.475166666666667
MED31	-0.11625
PLG	-0.19425
CAPSL	2.7835
ZNF532	1.4287
ASB14	-0.049
CA8	1.06025
NUDT16P	-0.0935
SLFN11	-0.163
LRRIQ2	-0.20875
NOL7	-0.483166666666667
BRMS1L	0.302625
JARID1A	-0.279833333333333
PANK2	-0.53
ICAM3	-1.16
MDS1	-1.13625
TAF8	-0.2345
RNF139	1.396
ZNF594	0.346833333333333
ADAM8	2.172125
SFTPC	-0.14025
MAN2B2	1.98625
RGS12	0.7111875
EIF1AY	-4.84233333333333
LRRIQ1	-0.135
GPR150	-1.669
CCDC21	-0.64
PRRG3	0.5555
SAA4	-4.277
RAPGEF5	-1.2625
ZCCHC2	-0.051
MGC39372	1.417
PPP4R2	0.379833333333333
CDCA2	-0.00983333333333332
OR4D5	0.729
PTGFRN	0.5469
SIGLEC5	2.347
C19orf61	0.335333333333333
NMUR2	-0.2205
KIAA1586	-0.5635
DAGLA	-0.492
CHCHD6	0.1245
GPR32	1.762
NEUROD6	-0.0901666666666667
SLC2A4RG	0.7849375
CA5B	0.31425
FBXL3	1.14225
MPHOSPH9	-0.488
HMG2L1	0.62775
HCN4	-1.51666666666667
CEACAM19	-0.39375
SH2D4B	0.753
HFE2	-1.088
TGM4	0.00283333333333332
LYPD2	-0.04125
TBC1D15	-0.48525
MRPS21	-1.0865
NONO	-0.3514
CLEC5A	3.678
ITCH	-0.7771
MGAT3	-1.6955
MBP	-0.60875
RPP25	-1.146
SOSTDC1	-0.116
HRC	-1.96025
TRIM48	-0.194
TMEM133	0.3725
ECEL1P2	-1.22925
HOXC11	-0.941
DOK5	-0.03525
HELZ	-0.437666666666667
LOC348180	-0.74125
MGC33894	0.372
ADRB3	0.5785
DMD	-0.441083333333333
PTRH2	-1.023
MPEG1	3.253
NDUFA12	-0.1025
KRTAP2-4	-0.161916666666667
STAMBPL1	-1.38
ADCY2	-0.4315
UNQ6125	-0.2705
KLHL20	0.344166666666667
SRM	-0.236
OTC	-0.04925
TMIE	-0.483666666666667
SNX8	-0.286
LIPK	0.399
CHURC1	0.11625
KLC2	0.119
HDAC1	-0.138333333333333
FAM128A	0.1245
FNDC3B	-0.082
MTCP1	-0.196833333333333
WFDC10B	0.1508
PCDHGB3	0.1015
ATRNL1	-2.2412
CAV2	0.534875
MED26	0.263333333333333
DUS1L	-0.109
CHRM3	-2.0415
NEK9	0.83725
WARS2	-0.299
TBX22	-0.054
TOMM40	-0.7125
RP6-213H19.1	-1.106
TUBGCP5	-0.89775
IGSF6	5.11725
TPPP	1.8505
UNQ6190	-0.052
GSTM5	-0.05275
BTD	0.529666666666667
PDCD1LG2	1.56416666666667
SNRPB2	-0.524833333333333
ERICH1	-0.130625
APOA4	-1.50775
HOXA11	-0.26025
NARG1	-0.215625
MKX	-0.6775
RAB28	-0.388357142857143
PKP3	1.2645
SH3GL2	-1.376
CTSO	3.9425
RPN2	0.4906875
IL28RA	-0.975833333333333
SFMBT1	0.41375
WDR57	-0.519875
FER1L3	1.86208333333333
HSF5	0.6066
TTC9B	-0.59625
C4BPA	-3.99233333333333
ALB	-5.1335
SORBS3	0.27025
UPF2	0.2145
JPH1	-0.7785
AGBL2	-0.82325
DOPEY1	1.1195
TERF1	0.168833333333333
KIF22	-0.4825
NINJ1	0.0275
SEC61A2	0.18625
HIST1H1D	0.0561666666666666
SFXN4	0.149125
UCP3	0.0095
ZNF703	1.115
MYL6B	-0.78925
TREM1	3.06575
OR52E6	0.681
CKMT2	1.7955
HLA-C	1.14725
SLC13A3	-1.712
TIMP4	-3.14825
SLIT2	1.788
RSF1	0.716777777777778
LONRF1	0.381285714285714
MON1A	-0.229833333333333
CACNG6	-0.718333333333333
DPPA4	-5.68016666666667
ZSWIM3	0.434
ZNF804A	0.795166666666667
CCIN	2.37625
SLC25A31	0.376333333333333
KCNMB4	0.45775
RABL5	0.276875
GALNS	-0.6524
STX6	0.643
HIST1H1C	-3.17683333333333
CIDEB	-0.556625
CASP4	-0.8
PDK3	0.0566
KCNJ11	2.359
TPR	-0.576375
ZSCAN20	-0.5845
MTX2	-0.91125
HIST1H2BH	-0.0825
LOC283767	-0.81725
LYRM7	-0.489666666666667
BRD3	-0.352333333333333
HIST1H2BO	-1.19725
MAGEB10	0.356
SLC45A1	0.945
SERPINA3	1.3518
KIAA0143	1.3945
KCNJ16	0.05
KRT79	1.621
FABP2	-1.91933333333333
NUT	-0.92525
ZNF57	0.21775
FBXL4	0.7505
CLEC9A	0.3655
UGT8	-1.5745
BMP2K	0.66975
MAPK4	-3.61825
SLC25A23	-0.475
HINT1	-0.6239
KRTAP13-1	-0.315
SFXN5	0.9967
CHCHD2	-0.230166666666667
FAM3D	0.8125
NDP	3.395375
RHOBTB1	0.9795
SLC4A4	-1.749
RPL38	0.21225
HTF9C	-0.543333333333333
AP2A2	0.696375
ZBTB46	0.428
MAP7D1	0.421
AOX1	-1.74766666666667
CYR61	0.295333333333333
DTNA	0.511785714285714
JRKL	-0.01475
TMOD3	0.17575
EEA1	0.5536
ADCK5	-1.43375
IL1R1	2.771
KLK3	1.57721428571429
HRSP12	0.54475
KTN1	-0.07575
LOH11CR2A	2.2477
RELL2	-1.75725
MAB21L1	3.10875
C20orf59	-0.924
PHKB	0.317
ADAM2	-1.21966666666667
TBC1D8B	1.48933333333333
FAM13A1	-0.5729375
LAPTM4B	1.68233333333333
LCN8	0.1405
TMEM147	0.0675
SYT4	-0.619333333333333
XPO7	0.12
C9orf62	-1.6845
GPR75	-0.0545
TRIM5	1.0745
APOC1	0.559
RNASE4	-0.647666666666667
PARD6B	-3.934875
ARID1A	0.669666666666667
TPD52L3	0.1633
RRAGB	0.920166666666667
RCN2	-0.749666666666667
HIST2H2BE	-0.7405
STARD7	-0.18475
SHMT2	-0.3955
KIAA1751	-0.121166666666667
MLYCD	0.79775
LOC162632	-1.1898
UQCRH	-1.35125
RP11-217H1.1	0.333625
SDHA	-1.4085
NCLN	-0.3191
ZNF17	2.47983333333333
RCBTB2	-1.21975
VEGFB	0.00410000000000001
RP4-747L4.3	-1.09625
COLQ	0.4151
MPN2	-1.36233333333333
DRG2	0.14425
KLRB1	4.0455
ALPK2	-1.17575
DNASE2B	2.42125
FLJ23834	-0.3025
AXUD1	0.9425
SAFB	-0.2416
NSUN4	0.1315
RFX2	0.255666666666667
MAPK8IP1	-0.480166666666667
FANCD2	0.0664999999999999
ANKZF1	-2.092
C19orf50	-0.28275
DUSP8	0.474125
SENP5	0.04275
NFKBIL2	-0.396
LBR	-1.91925
IGFL1	3.9435
LZTS2	0.119375
IL2RG	-0.933
CCDC51	-0.23675
KLF3	0.587125
ANKRD37	-1.04825
KCTD14	-0.7785
FZR1	0.642666666666667
SLC44A4	0.1671
ESPL1	-0.64325
GMPR2	-0.2167
TBC1D19	-0.0245
ERGIC1	0.139
ERBB4	1.8868
TSPAN32	0.736583333333333
MAP4	0.93075
GPHN	0.46975
SLC6A2	-0.278125
HIVEP1	0.6795
DFFB	-0.4385
EIF4EBP2	1.484125
DMRT1	-0.9035
HSPB6	-0.08825
IER2	-0.101833333333333
AIFM1	-0.4345
WWC2	0.326166666666667
MRPL4	-0.67475
FLJ21062	0.1925
EPB41L4A	1.49975
SH2D6	0.0215
TAF4B	-0.11275
GAL3ST3	0.3905
MALT1	-0.455166666666667
RTDR1	-0.431
ARVCF	0.549625
MEX3B	-0.485333333333333
FBXO16	0.7905
KIF7	-0.52
C1QC	3.66966666666667
ZNF783	-0.0613333333333333
ZNF85	0.56275
MMP13	5.9225
KIAA0329	0.147375
RTP3	-1.199
ZBED3	-1.54925
CLGN	-3.1525
SLC25A37	-1.134
hCG_18290	-0.351
OR5AS1	0.6695
SMARCC2	-0.339666666666667
FAM109A	0.731833333333333
CCDC12	-0.05025
USF2	0.4969
DEPDC7	-0.58275
C20orf24	-0.232
JMJD3	0.873
DSP	0.624714285714286
SLIC1	0.36075
FAM20A	1.2435
IRF2BP2	-0.48725
ZNF230	0.037
MSN	-0.262
SLC9A5	-2.3625
EPDR1	-0.7411
MUSK	0.321
ZNF434	0.38
SMARCD1	-0.344
ZFP106	-0.43275
ZNF347	2.2765
